term,definitions
coronal mass ejection,"[""A solar event (CME) that involves a burst of plasma ejected into the interplanetary medium.  CME's may be observed remotely relatively near the sun or in situ in the interplanetary medium.  The latter type of observations are often referred to as Interplanetary CME's (ICME's). (spase)    source: HELIO Ontology.json"", ""A solar event (CME) that involves a burst of plasma ejected into the interplanetary medium.  CME's may be observed remotely relatively near the sun or in situ in the interplanetary medium.  The latter type of observations are often referred to as Interplanetary CME's (ICME's). (spase)    source: HELIO Ontology.json"", 'A coronal mass ejection (CME) is an ejection of material from the solar corona, usually observed with a white-light coronagraph. The ejected material is a plasma consisting primarily of electrons and protons (in addition to small quantities of heavier elements such as helium, oxygen, and iron), plus the entrained coronal magnetic field.    source: Semantic Web for Earth and Environment Technology Ontology.json', ""A solar event (CME) that involves a burst ofplasma ejected into the interplanetary medium. CME's may be observedremotely relatively near the sun or in situ in the interplanetary medium.The latter type of observations are often referred to as InterplanetaryCME's (ICME's).    source: SPASE Dictionary.json"", ""Not to be confused with the intense burst of light that is a solar flare, a CME is a cloud of magnetized solar material that erupts from the sun's atmosphere, the corona, into interplanetary space. CMEs do often occur at the same time as a flare, and scientists currently study how the two phenomena connect. At their largest, CMEs can contain 10 billion tons of matter, and they can move at speeds of a million miles an hour. Just after blowing into space, a CME cloud can grow as wide as 30 million miles across, 35 times the diameter of the sun. When a coronal mass ejection points toward Earth, it can take anywhere from one to three days to reach our atmosphere, where it can create a type of space weather known as a geomagnetic storm.    source: NASA Heliophysics Vocabulary.json"", 'An outflow of plasma from or through the solar corona. CMEs are often, but not always, associated with erupting prominences, disappearing solar filaments, and/or flares.\xa0 CMEs vary widely in structure, density, and velocity.\xa0 Large and fast CMEs can approach densities of 1016 g and velocities of 2000 km/s.\xa0 Earth impacting CMEs can result in significant geomagnetic storms.    source: Space Weather Glossary.json', 'An outflow of plasma from or through the solar corona. CMEs are often, but not always, associated with erupting prominences, disappearing solar filaments, and/or flares. CMEs vary widely in structure, density, and velocity. Large and fast CMEs can approach masses of 1.6 × 10^12 kg and approach velocities over 2000 km/s. Earth impacting CMEs can result in significant geomagnetic storms. Types of coronal mass ejections launched toward Earth are called ""halo CMEs"" because as they approach Earth, they appear larger than the Sun, making a halo of bright coronal emission completely around it.    source: ESA Space Weather Glossary.json']"
high speed stream,[]
solar energetic particles,"[""During an eruptive event on the sun, the sun can emit very fast, very energetic particles that travel at about 80% the speed of light. Such charged particles can reach Earth's magnetosphere either in the wake of a flare, or propelled ahead of a coronal mass ejection. In either case the energy they dump into the atmosphere can create what's called a solar radiation storm, which can cause low frequency radio blackouts at Earth.    source: NASA Heliophysics Vocabulary.json"", 'High energy (keV to GeV) protons, electrons and ions which come from the Sun.    source: Space Weather Glossary.json']"
interplanetary shock,"['A shock propagating generally anti-sunward through the slower solar wind, often seen in front of CME-associated plasma clouds. (spase)    source: HELIO Ontology.json', 'A shock propagating generally anti-sunward through the slower solar wind, often seen in front of CME-associated plasma clouds. (spase)    source: HELIO Ontology.json', 'A shock propagating generally anti-sunwardthrough the slower solar wind, often seen in front of CME-associated plasmaclouds.    source: SPASE Dictionary.json', 'Interplanetary shocks are a type of collision-less shock - ones where particles transfer energy through electromagnetic fields instead of directly bouncing into one another.    source: ESA Space Weather Glossary.json']"
cosmic rays,"['General term comprising galactic cosmic rays, anomalous cosmic rays and solar cosmic rays (e.g. solar energetic particles).  Galactic cosmic rays: High-energy charged particles (up to 10^21 eV) originating from outside the solar system. Anomalous cosmic rays: Charged particles (approx. 10-100 MeV) originating from neutral interstellar atoms that have been ionised by solar UV radiation after entering the heliosphere. Solar energetic particles: Charged particles (from a few keV up to GeV) originating in at least two distinct locations, namely the solar flare and the coronal mass ejection-driven interplanetary (IP) shock. Commonly referred to as solar energetic particles when they are observed in IP space and near Earth.    source: ESA Space Weather Glossary.json', 'Extremely energetic atomic nuclei which travel through the Universe at practically the speed of light and strike the Earth from all direction. Almost 90% of all the incoming primary cosmic rays are protons, about 9% are helium nuclei (alpha particles) and about 1% are electrons (beta minus particles). Some cosmic rays come from the Sun (mainly due to solar flares), most come from galactic supernovae, and a few with the highest energy are suspected to originate from outside the Milky Way. As for their flux, about 1 charged particle per second per cm^2 impacts the Earth. The typical kinetic energy of these particles is about 10 MeV/nucleon to several GeV/nucleon, although there are some at higher energies. In fact, the cosmic ray with the highest energy has been measured above x 10^20 eV. These ultra-high energy cosmic rays are suspected to be extragalactic, as there is no plausible mechanism of acceleration to these energies by a supernova, for example. Again, compare these energies to those of solar neutrinos that have only 0.26 MeV. Cosmic rays may be divided into primary cosmic rays and secondary cosmic rays. Their energy ranges from 10^9 to 10^20 electron-volts.    source: Unified Astronomy Thesaurus (UAT).json', 'Extremely energetic atomic nuclei which travel through the Universe at practically the speed of light and strike the Earth from all direction. Almost 90% of all the incoming primary cosmic rays are protons, about 9% are helium nuclei (alpha particles) and about 1% are electrons (beta minus particles). Some cosmic rays come from the Sun (mainly due to solar flares), most come from galactic supernovae, and a few with the highest energy are suspected to originate from outside the Milky Way. As for their flux, about 1 charged particle per second per cm^2 impacts the Earth. The typical kinetic energy of these particles is about 10 MeV/nucleon to several GeV/nucleon, although there are some at higher energies. In fact, the cosmic ray with the highest energy has been measured above x 10^20 eV. These ultra-high energy cosmic rays are suspected to be extragalactic, as there is no plausible mechanism of acceleration to these energies by a supernova, for example. Again, compare these energies to those of solar neutrinos that have only 0.26 MeV. Cosmic rays may be divided into primary cosmic rays and secondary cosmic rays. Their energy ranges from 10^9 to 10^20 electron-volts.    source: Unified Astronomy Thesaurus (UAT).json']"
magnetic reconnection,"['Magnetic reconnection is a physical process in highly conducting plasmas in which the magnetic topology is rearranged and magnetic energy is converted to kinetic energy, thermal energy, and particle acceleration    source: NASA CCMC.json', 'The source of many of the energetic events on the sun and in the magnetosphere, from solar flares and coronal mass ejections to the aurora. Magnetic reconnection occurs when magnetic field lines cross,ak apart, and then reconnect in a new alignment, rebounding explosively into new positions, providing huge amounts of energy.    source: NASA Heliophysics Vocabulary.json']"
magnetospheric substorms,[]
global magnetospheric convection,[]
ring current,"['One of the major current systems confinedwithin planetary magnetospheres. The ring current circles in the magneticequatorial plane of magnetospheres. It is generated by the longitudinaldrift of energetic charged particles trapped on inner, dipole-likemagnetospheric field lines. At the Earth, the ring current is carried by 10to 200 keV charged particles typically located at L-shells between 3 and 6.The ring current is also the primary driver of the Sym H and Dst Indices ofmagnetic storm activity at the Earth.    source: SPASE Dictionary.json', 'In the magnetosphere, a region of current that flows from east to west in a disk-shaped region near the geomagnetic equator in the outer of the Van Allen radiation belts. The current is produced by the gradient and curvature drift of the trapped charged particles. The ring current is greatly augmented during magnetic storms because of the hot plasma injected from the magnetotail. This increase in the ring current causes a worldwide depression of the horizontal geomagnetic field during a magnetic storm.    source: Space Weather Glossary.json']"
radiation belts,"[""Two belts of radiation that surround Earth, also known as the Van Allen Belts. These two concentric donut-shaped regions are filled with high-energy particles from the sun and Earth's ionosphere that gyrate, bounce and drift, sometimes shooting down into Earth's atmosphere, sometimes escaping out into space. The inner belt is fairly stable; however, the outer belt can swell and shrink over time, sometimes inflating so much that the belts appear as one.    source: NASA Heliophysics Vocabulary.json"", 'Regions of the magnetosphere roughly 1.2 to 6 Earth radii above the equator in which charged particles are stably trapped by closed geomagnetic field lines. There are two belts. The inner belt is part of the plasmasphere and corotates with the Earth; its maximum proton density lies near 5000 km. Inner belt protons are mostly high energy (10-50 MeV range) and originate from the decay of secondary neutrons created during collisions between cosmic rays and upper atmospheric particles. The outer belt extends on to the magnetopause on the sunward side.\xa0 The altitude of maximum proton density is near 16,000-20,000 km. Outer belt protons are lower energy (about 200 eV to 1 MeV) and come from the solar wind. The outer belt is also characterized by highly variable fluxes of energetic electrons. The radiation belts are often called the ”Van Allen radiation belts” because they were discovered in 1968 by a research group at the University of Iowa led by Professor J. A. Van Allen.    source: Space Weather Glossary.json']"
bursty bulk flows,[]
wave particle interactions,[]
gyrofrequency,"['The number of gyrations around a magnetic guiding\ncenter (field line) a charged particle makes per unit time\ndue to the Lorentz force.    source: HELIO Ontology.json', 'The number of gyrations around a magneticguiding center (field line) a charged particle makes per unit time due tothe Lorentz force.    source: SPASE Dictionary.json']"
ExB drift,[]
polarization drift,[]
gradient drift,[]
curvature drift,[]
diffusion,[]
L-shell,[]
field-aligned currents,[]
particle precipitation,[]
Pedersen current,[]
Hall current,[]
Joule heating,[]
ionospheric electric field,[]
ionospheric disturbances,[]
ionospheric convection,[]
cross polar cap potential,[]
polar cap patch,[]
aurora,"[""An atmospheric phenomenon consisting of bands of light caused by charged solar particles following the earth's magnetic lines of force. (spase)    source: HELIO Ontology.json"", 'transient displays of light, often displaying as moving curtains and rays, at high latitudes associated with geomagnetic disturbances    source: NASA CCMC.json', 'The sporadic radiant emission from the upper atmosphere over the middle and high latitudes.    source: Semantic Web for Earth and Environment Technology Ontology.json', ""An atmospheric phenomenon consisting of bandsof light caused by charged solar particles following the earth's magneticlines of force.    source: SPASE Dictionary.json"", ""An aurora is a natural display of light in the night sky that typically occurs in far northern and southern regions. Auroras occur when incoming charged particles from the sun strike oxygen and nitrogen some 60 to 200 miles up in Earth's atmosphere and release a flash of light and heat. Electrons and protons released by solar storms add to the number of solar particles, and can createght auroras at lower latitudes.    source: NASA Heliophysics Vocabulary.json"", 'A faint visual phenomenon associated with geomagnetic activity that is visible mainly in the high-latitude night sky. Aurorae occur within a band of latitudes known as the auroral oval, the location of which is dependent on geomagnetic activity. Aurorae are a result of collisions between atmospheric gases and precipitating charged particles (mostly electrons) guided by the geomagnetic field from the magnetotail. Each gas (oxygen, nitrogen molecules, and atoms) emits a particular color depending on the energy of the precipitating particles, and atmospheric composition varies with altitude. Since the faster precipitating particles penetrate deeper, certain auroral colors, originate preferentially from certain heights in the sky. The auroral altitude range is 80 to 1000 km, but typical aurorae are 100 to 250 km above the ground; the color of the typical aurora is yellow-green, from a specific transition of atomic oxygen. Auroral light from lower levels in the atmosphere is dominated by blue and red bands from molecular nitrogen and oxygen. Above 250 km, auroral light is characterized by a red spectral line of atomic oxygen.\xa0 Aurorae in the Northern Hemisphere are called the aurora borealis or ”northern lights.” Aurorae in the Southern Hemisphere are called aurora australis. The patterns and forms of the aurora include quiescent arcs, rapidly moving rays, curtains, patches, and veils.    source: Space Weather Glossary.json']"
auroral arc,[]
tongue of ionization,[]
poleward moving auroral form,[]
Harang discontinuity,[]
sub-auroral polarization stream,[]
electrojet,['(1) Auroral: A current that flows in the ionosphere in the auroral zone. (2) Equatorial: A thin electric current layer in the ionosphere over the dip equator at about 100 to 115 km altitude.    source: Space Weather Glossary.json']
geophysics,"['Geophysics, a branch of Earth sciences, is the study of the Earth by quantitative physical methods, especially by seismic, electromagnetic, and radioactivity methods. The theories and techniques of geophysics are employed extensively in the planetary sciences in general.    source: Semantic Web for Earth and Environment Technology Ontology.json']"
space weather,"['describes the variable conditions in space, due to solar activity and the solar wind    source: NASA CCMC.json', ""Space weather is the concept of changing environmental conditions in outer space. It is distinct from the concept of weather within a planetary atmosphere, and generally deals with the interactions of ambient radiation and matter within interplanetary, and occasionally interstellar space. Space weather describes the conditions in space that affect Earth and its technological systems. Our space weather is a consequence of the behavior of the sun, the nature of Earth's magnetic field, and our location in the solar system.    source: Semantic Web for Earth and Environment Technology Ontology.json"", 'Space Weather is the physical and phenomenological state of natural space environments. The associated discipline aims, through observation, monitoring, analysis and modelling, at understanding and predicting the state of the Sun, the interplanetary and planetary environments, and the solar and non-solar driven perturbations that affect them, and also at forecasting and nowcasting the potential impacts on biological and technological systems.    source: ESA Space Weather Glossary.json', 'The varying conditions in space and specifically in the near-Earth environment. Space weather is chiefly solar driven, resulting from solar activities such as solar flares, solar wind, and coronal mass ejections that affect magnetosphere, ionosphere, and thermosphere. Non-solar sources such as Galactic cosmic rays, meteoroids, and space debris can all be considered as altering space weather conditions at the Earth. Space weather may affect the performance and reliability of space-borne and ground-based technological systems and can endanger human life or health. The research in this field aims at monitoring and diagnosis of space weather conditions and constructing reliable numerical prediction models.    source: Unified Astronomy Thesaurus (UAT).json']"
risk,[]
resilience,[]
habitability,[]
geomagnetic disturbance,[]
geomagnetically induced currents,[]
radiation environment,[]
ionospheric scintillation,[]
space situational awareness,"['ESA programme starting in 2009. The objective of the Space Situational Awareness (SSA) system is to support the European independent utilisation of and access to space for research or services, through providing timely and quality data, information, services and knowledge regarding the environment, the threats, and the sustainable exploitation of the outer space.    source: ESA Space Weather Glossary.json']"
atmospheric drag,[]
geomagnetic storm,"[""A magnetospheric disturbance typically defined by variations in the horizontal component of the Earth's surface magnetic field.  The variation typically starts with a field enhancement associated with a solar wind pressure pulse and continues with a field depression associated with an enhancement of the diamagnetic magnetospheric ring current. (spase)    source: HELIO Ontology.json"", ""A geomagnetic storm is a temporary disturbance of the Earths magnetosphere caused by a disturbance in space weather. Associated with solar coronal mass ejections (CME), coronal holes, or solar flares, a geomagnetic storm is caused by a solar wind shock wave which typically strikes the Earths magnetic field 24 to 36 hours after the event. This only happens if the shock wave travels in a direction toward Earth. The solar wind pressure on the magnetosphere will increase or decrease depending on the Sun's activity. These solar wind pressure changes modify the electric currents in the ionosphere.    source: Semantic Web for Earth and Environment Technology Ontology.json"", ""A magnetospheric disturbance typicallydefined by variations in the horizontal component of the Earth's surfacemagnetic field. The variation typically starts with a field enhancementassociated with a solar wind pressure pulse and continues with a fielddepression associated with an enhancement of the diamagnetic magnetosphericring current.    source: SPASE Dictionary.json"", ""One of the most common forms of space weather, a geomagnetic storm refers to any time Earth's magnetic environment, the magnetosphere, undergoes sudden and repeated change. Geomagnetic storms can be caused by high-speed blasts of the solar wind and when a CME connects up with the magnetosphere. The sun's magnetic fields peel back the outermost layers of Earth's fields changing the very shape of the magnetosphere. Magnetic storms have measurable effects worldwide, such as radio communication blackouts and power grid failures.    source: NASA Heliophysics Vocabulary.json"", '(1) A worldwide disturbance of the Earth’s magnetic field, distinct from regular diurnal variations. A storm is precisely defined as occurring when the daily Ap index exceeds 29, or (2)\xa0 NOAA Space Weather Scale (G) for geomagnetic storm disturbances (see Appendix A).    source: Space Weather Glossary.json']"
neutral wind,[]
infrared radiative emission by CO2 and NO gases,[]
space climate,[]
particle trajectory,[]
spacecraft trajectory,[]
energy flux,"['The amount of energy passing through a unit area in a unit time.    source: HELIO Ontology.json', 'The amount of energy passing through a unit area in a unit time.    source: HELIO Ontology.json', 'The amount of energy passing through a unitarea in a unit time.    source: SPASE Dictionary.json']"
emissivity,"['The energy emitted spontaneously per unit bandwidth\n(typically frequency) per unit time per unit mass of\nsource. Emissivity is usually integrated over all\ndirections/solid angles.    source: HELIO Ontology.json', 'The energy emitted spontaneously per unitbandwidth (typically frequency) per unit time per unit mass of source.Emissivity is usually integrated over all directions/solid angles.    source: SPASE Dictionary.json']"
electric fields,[]
ionization processes,[]
particle acceleration,[]
plasma interactions with dust and aerosols,[]
plasma convection,[]
plasma waves and instabilities,[]
wave/particle interactions,[]
wave propagation,[]
nonlinear phenomena,[]
informatics,[]
chromosphere,"[""The region of the Sun's (or a star's) atmosphere above the\ntemperature minimum and below the Transition Region.\nThe solar chromosphere is approximately 400 km to\n2100 km above the photosphere, and characterized by\ntemperatures from 4500 - 28000 K.    source: HELIO Ontology.json"", 'The region of the Sun’s atmosphere that exists just above the photosphere. The chromosphere is visible with a special narrow band telescope the views the emissions of Hydrogen-alpha.    source: NASA CCMC.json', ""The region of the Sun's (or a star's)atmosphere above the temperature minimum and below the Transition Region.The solar chromosphere is approximately 400 km to 2100 km above thephotosphere, and characterized by temperatures from 4500 - 28000 K.    source: SPASE Dictionary.json"", ""The relatively thin layer of the solar atmosphere located above the sun's surface. The temperature in the chromosphere rises from 6000 K to about 20,000 K, making it hotter than the photosphere but not as hot as the higher atmosphere, the corona.    source: NASA Heliophysics Vocabulary.json"", 'The layer of the solar atmosphere above the photosphere and beneath the transition region and the corona. The chromosphere is the source of the strongest lines in the solar spectrum, including the Balmer alpha line of hydrogen and the H and K lines of calcium, and is the source of the red color often seen around the rim of the moon at total solar eclipses.    source: Space Weather Glossary.json']"
photosphere,"['The atmospheric layer of the Sun or a star from which\ncontinuum radiation, especially optical, is emitted to\nspace. For the Sun, the photosphere is about 500 km\nthick.    source: HELIO Ontology.json', 'thin layer of the solar atmosphere that is the source of most Solar photons    source: NASA CCMC.json', 'The atmospheric layer of the Sun or a starfrom which continuum radiation, especially optical, is emitted to space. Forthe Sun, the photosphere is about 500 km thick.    source: SPASE Dictionary.json', 'The surface layer of the sun that we can see in the visible light range.    source: NASA Heliophysics Vocabulary.json', 'The lowest visible layer of the solar atmosphere; corresponds to the solar surface viewed in white light. Sunspots and faculae are observed in the photosphere.    source: Space Weather Glossary.json']"
corona,"['The outermost atmospheric region of the Sun or a star,\ncharacterized by ionization temperatures above 10^5 K.\nThe solar corona starts at about 2100 km above the\nphotosphere; there is no generally defined upper limit.    source: HELIO Ontology.json', 'Constituent occurs as a concentric envelope enclosing another constituent. Corona is a non-genetic term.    source: Semantic Web for Earth and Environment Technology Ontology.json', 'The outermost atmospheric region of the Sunor a star, characterized by ionization temperatures above 10^5 K. The solarcorona starts at about 2100 km above the photosphere; there is no generallydefined upper limit.    source: SPASE Dictionary.json', ""The sun's dynamic atmosphere is called the corona. It is filled with electrically charged particles, whose movements are governed by the tangle of magnetic fields surrounding the sun. While the sun's surface is 6000K, the corona can reach up to millions of degrees, sparking questions from researchers on mechanisms heat the atmosphere so dramatically. Solar flares and coronal mass ejections originate in the corona.    source: NASA Heliophysics Vocabulary.json"", 'The outermost layer of the solar atmosphere, characterized by low densities ( < 109 cm-3) and high temperatures (> 106 K).    source: Space Weather Glossary.json']"
transition region,"['A very narrow (<100 km) layer between the\nchromosphere and the corona where the temperature rises\nabruptly from about 8000 to about 500,000 K.    source: HELIO Ontology.json', 'Above the solar chromosphere and solar corona there is a transition region. The temperature here rises from 20000 to ~ 1-2 millions of K. Below the transition region, gravity dominates the shape of most features, so that the Sun may be described in terms of layers and horizontal features (like sunspots); above the transition region, dynamic forces dominate the shape of most features, so that the transition region itself is not a well- defined layer at a particular altitude.    source: NASA CCMC.json', 'A very narrow (<100 km) layer between thechromosphere and the corona where the temperature rises abruptly from about8000 to about 500,000 K.    source: SPASE Dictionary.json', 'That region of the solar atmosphere lying between the chromosphere and the corona where the temperature rises from 104K to 106K. The transition region is only a few thousand kilometers thick.    source: Space Weather Glossary.json']"
oort cloud,"['A huge theoretical cloud of comets surrounding the Sun between about 50,000 and 100,000 astronomical units and thought to be the reservoir of long-period comets entering the inner solar system.    source: Unified Astronomy Thesaurus (UAT).json', 'A huge theoretical cloud of comets surrounding the Sun between about 50,000 and 100,000 astronomical units and thought to be the reservoir of long-period comets entering the inner solar system.    source: Unified Astronomy Thesaurus (UAT).json']"
oort cloud objects,[]
the moon,"[""Natural satellite of the Earth. Mass 7.35 x 10^25 g = 1/81 or 0.0123 Earth's. Mean radius 1740 km = ~ 1/4 the Earth's; this relatively small size ratio makes the Earth-Moon system unique in the solar system. Mean density 3.34 g cm-3. Mean distance from Earth 384,400 km. Escape velocity 2.38 km s-1. Surface gravity 162.2 cm s-2 = 0.165 Earth's. Sidereal period 27d 7h 43m 11s. Eccentricity 0.0549. Inclination of orbital plane to ecliptic 5° 8' 43''. Obliquity 6° 41'. Synodic period 29d 12h 44m 2s.9. Orbital velocity 1.02 km s-1. The Moon's average visual albedo is 0.12, a factor of three smaller than that of Earth. The Moon's center of mass is displaced about 2 km in the direction of Earth. The average temperature on the surface of the Moon during the day is 107 °C. During the night, the average temperature drops to -153 °C. Studies of lunar rock have shown that melting and separation must have begun at least 4.5 x 109 years ago, so the crust of the Moon was beginning to form a very short time after the solar system itself. Thickness of crust ~ 60 km; of mantle ~ 1000 km. Temperature of core ~ 1500 K. It would have taken only 107 years to slow the Moon's rotation into its present lock with its orbital period. Because of this synchronous rotation, the Moon revolves once on its axis each time it orbits the Earth, thus always presenting the same face, the nearside, toward Earth. The Moon may have formed during a collision between the early Earth and a Mars-sized rocky planet about 4.6 billion years ago; Theia.    source: Unified Astronomy Thesaurus (UAT).json"", ""Natural satellite of the Earth. Mass 7.35 x 10^25 g = 1/81 or 0.0123 Earth's. Mean radius 1740 km = ~ 1/4 the Earth's; this relatively small size ratio makes the Earth-Moon system unique in the solar system. Mean density 3.34 g cm-3. Mean distance from Earth 384,400 km. Escape velocity 2.38 km s-1. Surface gravity 162.2 cm s-2 = 0.165 Earth's. Sidereal period 27d 7h 43m 11s. Eccentricity 0.0549. Inclination of orbital plane to ecliptic 5° 8' 43''. Obliquity 6° 41'. Synodic period 29d 12h 44m 2s.9. Orbital velocity 1.02 km s-1. The Moon's average visual albedo is 0.12, a factor of three smaller than that of Earth. The Moon's center of mass is displaced about 2 km in the direction of Earth. The average temperature on the surface of the Moon during the day is 107 °C. During the night, the average temperature drops to -153 °C. Studies of lunar rock have shown that melting and separation must have begun at least 4.5 x 109 years ago, so the crust of the Moon was beginning to form a very short time after the solar system itself. Thickness of crust ~ 60 km; of mantle ~ 1000 km. Temperature of core ~ 1500 K. It would have taken only 107 years to slow the Moon's rotation into its present lock with its orbital period. Because of this synchronous rotation, the Moon revolves once on its axis each time it orbits the Earth, thus always presenting the same face, the nearside, toward Earth. The Moon may have formed during a collision between the early Earth and a Mars-sized rocky planet about 4.6 billion years ago; Theia.    source: Unified Astronomy Thesaurus (UAT).json""]"
