term,definition,source
interplanetary discontinuities,,uat
solar filament eruptions,,uat
interplanetary turbulence,,uat
center to limb observations,,uat
micrometeoroids,,uat
lunar gravitational field,,uat
solar wind termination,,uat
alfven waves,,uat
planetary cores,,uat
upper atmosphere,,uat
meteorites,,uat
ceres,,uat
heliostats,,uat
active solar chromosphere,,uat
solar coronal loops,,uat
mantle,,uat
lunar magnetic fields,,uat
solar e corona,,uat
solar coronal plumes,,uat
near-earth objects,,uat
asteroids,,uat
atmospheric composition,,uat
lunar transient phenomena,,uat
hungaria group,,uat
solar optical telescopes,,uat
trojan asteroids,,uat
long period comets,,uat
fireballs,,uat
aten group,,uat
lunar maria,,uat
mercury (planet),,uat
lunar craters,,uat
micrometeorites,,uat
humidity,,uat
near-sun comets,,uat
chondrites,,uat
planetesimals,,uat
comet nuclei,,uat
main-belt comets,,uat
surface ices,,uat
seasonal phenomena,,uat
lunar petrology,,uat
centaur group,,uat
meteor showers,,uat
galilean satellites,,uat
earth ionosphere,,uat
meteorite composition,,uat
comae,,uat
lunar rilles,,uat
meteor trails,,uat
lunar mineralogy,,uat
surface processes,,uat
sky brightness,,uat
classical kuiper belt objects,,uat
resonant kuiper belt objects,,uat
meteor streams,,uat
earth's clouds,,uat
stratopause,,uat
solar fibrils,,uat
tektites,,uat
land-atmosphere interactions,,uat
zodiacal cloud,,uat
comet halley,,uat
hilda group,,uat
lunar mountains,,uat
iron meteorites,,uat
lunar geochronology,,uat
diffuse radiation,,uat
solar mottles,,uat
lunar domes,,uat
proplyds,,uat
asteroid surfaces,,uat
earth (planet),,uat
mesopause,,uat
ataxites,,uat
tropopause,,uat
short period comets,,uat
solar radio telescopes,,uat
lunar impacts,,uat
lunar composition,,uat
lunar highlands,,uat
meteoroid dust clouds,,uat
lunar rays,,uat
detached objects,,uat
main belt asteroids,,uat
ocean-atmosphere interactions,,uat
solar macrospicules,,uat
atira group,,uat
ozone layer,,uat
plutoids,,uat
hirayama families,,uat
amor group,,uat
surface composition,,uat
surface variability,,uat
atmospheric circulation,,uat
achondrites,,uat
comet tails,,uat
apollo group,,uat
lunar seismology,,uat
plate tectonics,,uat
radioheliographs,,uat
dirty snowball model,,uat
aerolites,,uat
f layer,,uat
scattered disk objects,,uat
neutral coma gases,,uat
carbon dioxide,,uat
zodiacal dust bands,,uat
twilight,,uat
sundivers,,uat
coma dust,,uat
eros,,uat
sunskirters,,uat
ionized coma gases,,uat
e layer,,uat
d layer,,uat
carbonaceous chondrites,,uat
bolides,,uat
chlorofluorocarbons,,uat
comet surfaces,,uat
moldavites,,uat
nitrous oxide,,uat
mars trojans,,uat
indochinites,,uat
vesta,,uat
meteor radiants,,uat
zenith hourly rate,,uat
twotinos,,uat
jupiter trojans,,uat
methane,,uat
comet volatiles ,,uat
chondrules,,uat
night sky brightness,,uat
bediasites,,uat
plutinos,,uat
sungrazers,,uat
australites,,uat
comet interiors,,uat
geocorona,,uat
comet tail streamers,,uat
kreutz group,,uat
gegenschein,,uat
marsden group,,uat
kracht group,,uat
meyer group,,uat
geohealth,,agu
archaeological geology,,agu
coal geology,,agu
economic geology,,agu
engineering geology,,agu
environmental persistence of herbicides and pesticides,,agu
geomedicine,,agu
health and radiation,,agu
"impacts of climate change: human health, ",,agu
impacts of climate change: agricultural health,,agu
impacts of climate change: ecosystem health,,agu
public health,,agu
vector born diseases,,agu
atmospheric composition and structure,,agu
"aerosols and particles (0345, 4801, 4906)",,agu
airglow and aurora,,agu
"air/sea constituent fluxes (3339, 4504)",,agu
"biosphere/atmosphere interactions (0426, 1610)",,agu
chemical kinetic and photochemical properties,,agu
cloud optics,,agu
cloud physics and chemistry,,agu
cloud/radiation interaction,,agu
constituent sources and sinks,,agu
"evolution of the atmosphere (1610, 8125)",,agu
geochemical cycles (1030),,agu
"ion chemistry of the atmosphere (2419, 2427)",,agu
middle atmosphere: composition and chemistry,,agu
middle atmosphere: constituent transport and chemistry (3334),,agu
middle atmosphere: energy deposition (3334),,agu
"planetary atmospheres (5210, 5405, 5704)",,agu
"pollution: urban and regional (0305, 0478, 4251, 4325)",,agu
"pressure, density, and temperature",,agu
thermosphere: composition and chemistry,,agu
thermosphere: energy deposition (3369),,agu
radiation: transmission and scattering,,agu
troposphere: composition and chemistry,,agu
troposphere: constituent transport and chemistry,,agu
"volcanic effects (4301, 8409)",,agu
agricultural systems,,agu
"anoxic and hypoxic environments (4802, 4834)",,agu
astrobiology and extraterrestrial materials,,agu
benthic processes (4804),,agu
bioavailability: chemical speciation and complexation,,agu
biodiversity,,agu
"biogeochemical kinetics and reaction modeling (0414, 0793, 1615, 4805, 4912)",,agu
"biogeochemical cycles, processes, and modeling (0412, 0793, 1615, 4805, 4912)",,agu
biogeophysics,,agu
bioremediation,,agu
biomineralization,,agu
biomolecular and chemical tracers,,agu
bio-optics,,agu
biosignatures and proxies,,agu
biosphere/atmosphere interactions (0315),,agu
carbon cycling (4806),,agu
climate dynamics (1620),,agu
computational methods and data processing,,agu
contaminant and organic biogeochemistry (0792),,agu
data sets,,agu
"diel, seasonal, and annual cycles (4227)",,agu
"ecosystems, structure and dynamics (4815)",,agu
estuarine and nearshore processes (4235),,agu
evolutionary geobiology,,agu
geomicrobiology,,agu
"hydrothermal systems (1034, 3017, 3616, 4832, 8135, 8424)",,agu
"isotopic composition and chemistry (1041, 4870)",,agu
life in extreme environments,,agu
"limnology (1845, 4239, 4942)",,agu
"macro- and micropaleontology (3030, 4944)",,agu
marine systems (4800),,agu
metals,,agu
microbe/mineral interactions,,agu
"microbiology: ecology, physiology and genomics (4840)",,agu
natural hazards (4308),,agu
nitrogen cycling,,agu
"nutrients and nutrient cycling (4845, 4850)",,agu
oxidation/reduction reactions (4851),,agu
"paleoclimatology and paleoceanography (3344, 4900)",,agu
"permafrost, cryosphere, and high-latitude processes (0702, 0716)",,agu
plant ecology (1851),,agu
"pollution: urban, regional and global (0345, 4251, 4325)",,agu
restoration,,agu
"riparian systems (0744, 1856)",,agu
science policy (6620),,agu
soils/pedology (1865),,agu
sulfur cycling,,agu
trace element cycling (4875),,agu
trace gases,,agu
food webs and trophodynamics (4817),,agu
urban systems (4325),,agu
water/energy interactions (1878),,agu
water quality,,agu
wetlands (1890),,agu
"computational geophysics (1980, 3200, 3252, 4307, 4314, 7833)",,agu
agent-based models,,agu
cellular automata,,agu
data analysis: algorithms and implementation,,agu
data management,,agu
data presentation and visualization (1994),,agu
hardware solutions,,agu
image processing,,agu
"modeling (1952, 4255, 4316)",,agu
model verification and validation,,agu
"neural networks, fuzzy logic, machine learning (1942)",,agu
numerical solutions (4255),,agu
cryosphere (4540),,agu
"permafrost (0475, 4308)",,agu
seasonally frozen ground,,agu
active layer,,agu
thermokarst,,agu
periglacial processes,,agu
cryosol,,agu
clathrate,,agu
cryobiology (0475),,agu
tundra (9315),,agu
glaciers,,agu
rock glaciers,,agu
ice cores (4932),,agu
ice sheets,,agu
ice shelves,,agu
ice streams,,agu
icebergs,,agu
"icing (aufeis, naled)",,agu
"snow (1827, 1863)",,agu
ice (1863),,agu
snowmelt,,agu
avalanches (4302),,agu
"rivers (0483, 1856)",,agu
lakes (9345),,agu
ponds,,agu
sea ice (4540),,agu
polynas (4540),,agu
leads (4540),,agu
engineering,,agu
"mass balance (1218, 1223)",,agu
energy balance,,agu
"thermodynamics (1011, 3611, 8411)",,agu
thermal regime,,agu
properties,,agu
distribution,,agu
dynamics,,agu
"glaciology (1621, 1827, 1863)",,agu
"weathering (1625, 1886)",,agu
contaminants (0432),,agu
"biogeochemistry (0412, 0414, 1615, 4805, 4912)",,agu
education,,agu
elementary and secondary education,,agu
post-secondary education,,agu
informal education,,agu
curriculum and laboratory design,,agu
teaching methods,,agu
teacher training,,agu
evaluation and assessment,,agu
instructional tools,,agu
geoscience education research,,agu
diversity,,agu
electromagnetics,,agu
antenna arrays,,agu
antennas,,agu
biological effects,,agu
electromagnetic theory,,agu
guided waves,,agu
inverse scattering,,agu
measurement and standards,,agu
nonlinear electromagnetics,,agu
numerical methods,,agu
optics (4264),,agu
plasmas,,agu
random media and rough surfaces,,agu
reflectors and feeds,,agu
scattering and diffraction,,agu
signal processing and adaptive antennas (6974),,agu
singularity expansion method,,agu
transient and time domain,,agu
"wave propagation (2487, 3285, 4275, 4455, 6934)",,agu
exploration geophysics,,agu
computational methods: seismic,,agu
computational methods: potential fields (1214),,agu
"continental structures (8109, 8110)",,agu
data processing,,agu
downhole methods,,agu
gravity methods (1219),,agu
magnetic and electrical methods (5109),,agu
oceanic structures,,agu
radioactivity methods,,agu
"seismic methods (3025, 7294)",,agu
"geochemical modeling (3610, 8410)",,agu
"thermodynamics (0766, 3611, 8411)",,agu
"reactions and phase equilibria (3612, 8412)",,agu
"subduction zone processes (3060, 3613, 8170, 8413)",,agu
"mid-oceanic ridge processes (3614, 8416)",,agu
"intra-plate processes (3615, 8415)",,agu
"hydrothermal systems (0450, 3017, 3616, 4832, 8135, 8424)",,agu
alteration and weathering processes (3617),,agu
magma chamber processes (3618),,agu
magma genesis and partial melting (3619),,agu
mantle processes (3621),,agu
composition of the core,,agu
composition of the continental crust,,agu
composition of the oceanic crust,,agu
composition of the hydrosphere,,agu
composition of the biosphere,,agu
composition of the mantle,,agu
composition of the moon,,agu
composition of the planets,,agu
"composition of meteorites (3662, 6240)",,agu
composition of aerosols and dust particles,,agu
geochemical cycles (0330),,agu
major and trace element geochemistry,,agu
radiogenic isotope geochemistry,,agu
"stable isotope geochemistry (0454, 4870)",,agu
mineral and crystal chemistry (3620),,agu
fluid and melt inclusion geochemistry,,agu
"marine geochemistry (4835, 4845, 4850)",,agu
sedimentary geochemistry,,agu
organic and biogenic geochemistry,,agu
"planetary geochemistry (5405, 5410, 5704, 5709, 6005, 6008)",,agu
"field relationships (3690, 8486)",,agu
quaternary geochronology,,agu
sidereal geochronology,,agu
radioisotope geochronology,,agu
isotopic disequilibrium dating,,agu
chemical and biological geochronology,,agu
geomorphological geochronology,,agu
correlative geochronology,,agu
thermochronology,,agu
tephrochronology (8455),,agu
cosmogenic-nuclide exposure dating (4918),,agu
extinct radionuclide geochronology,,agu
planetary and lunar geochronology,,agu
sedimentary geochronology,,agu
geodesy and gravity,,agu
standards and absolute measurements,,agu
integrations of techniques,,agu
"satellite geodesy: results (6929, 7215, 7230, 7240)",,agu
"satellite geodesy: technical issues (6994, 7969)",,agu
space geodetic surveys(4337),,agu
control surveys,,agu
"seismic cycle related deformations (6924, 7209, 7223, 7230)",,agu
"transient deformation (6924, 7230, 7240)",,agu
tectonic deformation (6924),,agu
non-tectonic deformation,,agu
"earth's interior: composition and state (7207, 7208, 8105, 8124)",,agu
"earth's interior: dynamics (1507, 7207, 7208, 8115, 8120)",,agu
"rheology of the lithosphere and mantle (7218, 8160)",,agu
"gravity anomalies and earth structure (0920, 7205, 7240)",,agu
geopotential theory and determination (0903),,agu
"time variable gravity (7223, 7230)",,agu
reference systems,,agu
earth rotation variations,,agu
"ocean/earth/atmosphere/hydrosphere/cryosphere interactions (0762, 1218, 3319, 4550)",,agu
"mass balance (0762, 1223, 1631, 1836, 1843, 3010, 3322, 4532)",,agu
atmosphere monitoring with geodetic techniques (6952),,agu
"ocean monitoring with geodetic techniques (1225, 1641, 3010, 4532, 4556, 4560, 6959)",,agu
"global change from geodesy (1222, 1622, 1630, 1641, 1645, 4556)",,agu
"lunar and planetary geodesy and gravity (5417, 5450, 5714, 5744, 6019, 6250)",,agu
general or miscellaneous (1709),,agu
archeomagnetism,,agu
biogenic magnetic minerals,,agu
"core processes (1213, 8115)",,agu
dynamo: theories and simulations,,agu
environmental magnetism,,agu
geomagnetic excursions,,agu
geomagnetic induction,,agu
magnetic anomalies: modeling and interpretation,,agu
magnetic fabrics and anisotropy,,agu
magnetic mineralogy and petrology,,agu
magnetostratigraphy,,agu
paleointensity,,agu
paleomagnetic secular variation,,agu
"paleomagnetism applied to tectonics: regional, global",,agu
paleomagnetism applied to geologic processes,,agu
rapid time variations,,agu
"reference fields: regional, global",,agu
remagnetization,,agu
"reversals: process, timescale, magnetostratigraphy",,agu
rock and mineral magnetism,,agu
"satellite magnetics: main field, crustal field, external field",,agu
spatial variations: all harmonics and anomalies,,agu
spatial variations attributed to seafloor spreading (3005),,agu
time variations: diurnal to decadal,,agu
time variations: secular and longer,,agu
planetary magnetism: all frequencies and wavelengths,,agu
global change,,agu
"abrupt/rapid climate change (4901, 8408)",,agu
"atmosphere (0315, 0325)",,agu
"biogeochemical cycles, processes, and modeling (0412, 0414, 0793, 4805, 4912)",,agu
"climate variability (1635, 3305, 3309, 4215, 4513)",,agu
"climate dynamics (0429, 3309)",,agu
cryospheric change (0776),,agu
"earth system modeling (1225, 4316)",,agu
"geomorphology and weathering (0790, 1824, 1825, 1826, 1886)",,agu
"global climate models (3337, 4928)",,agu
coupled models of the climate system,,agu
"impacts of global change (1225, 4321)",,agu
"land/atmosphere interactions (1218, 1843, 3322)",,agu
land cover change,,agu
"oceans (1616, 3305, 4215, 4513)",,agu
regional climate change (4321),,agu
"remote sensing (1855, 4337)",,agu
"sea level change (1222, 1225, 4304, 4556)",,agu
solid earth (1225),,agu
solar variability (7537),,agu
water cycles (1836),,agu
history of geophysics,,agu
atmospheric sciences,,agu
computational geophysics,,agu
cryosphere,,agu
geodesy (1299),,agu
nonlinear geophysics,,agu
ocean sciences,,agu
planetology,,agu
solar/planetary relationships,,agu
"volcanology, geochemistry, and petrology",,agu
"anthropogenic effects (4802, 4902)",,agu
catchment,,agu
chemistry of fresh water,,agu
climate impacts (4321),,agu
computational hydrology,,agu
dams,,agu
debris flow and landslides (4303),,agu
desertification,,agu
drought (4303),,agu
eco-hydrology,,agu
energy budgets,,agu
erosion,,agu
estimation and forecasting (4315),,agu
evapotranspiration,,agu
extreme events (4313),,agu
floods (4303),,agu
floodplain dynamics,,agu
frozen ground,,agu
geographic information systems (gis),,agu
geomechanics,,agu
geomorphology: general (1625),,agu
geomorphology: fluvial (1625),,agu
geomorphology: hillslope (1625),,agu
"glaciology (0736, 0776, 1863)",,agu
groundwater hydraulics,,agu
groundwater hydrology,,agu
groundwater quality,,agu
groundwater/surface water interaction,,agu
groundwater transport,,agu
human impacts (4323),,agu
hydroclimatology,,agu
hydrogeophysics,,agu
"hydrological cycles and budgets (1218, 1655)",,agu
hydrometeorology,,agu
hydrologic scaling,,agu
infiltration,,agu
irrigation,,agu
"land/atmosphere interactions (1218, 1631, 3322)",,agu
"limnology (0458, 4239, 4942)",,agu
model calibration (3333),,agu
monitoring networks,,agu
numerical approximations and analysis (3336),,agu
overland flow,,agu
plant ecology (0476),,agu
plant uptake,,agu
precipitation (3354),,agu
precipitation-radar,,agu
"remote sensing (1640, 4337)",,agu
reservoirs (surface),,agu
"river channels (0483, 0744)",,agu
rocks: chemical properties,,agu
rocks: physical properties,,agu
streamflow,,agu
sedimentation (4863),,agu
sediment transport (4558),,agu
"snow and ice (0736, 0738, 0776, 1827)",,agu
soils (0486),,agu
soil moisture,,agu
stochastic hydrology,,agu
surface water quality,,agu
"time series analysis (1988, 3270, 4277, 4475)",,agu
"uncertainty assessment (1990, 3275)",,agu
ungaged basins,,agu
vadose zone,,agu
water budgets,,agu
water/energy interactions (0495),,agu
watershed,,agu
water management (6334),,agu
water supply,,agu
"weathering (0790, 1625)",,agu
wetlands (0497),,agu
instruments and techniques: modeling,,agu
instruments and techniques: monitoring,,agu
informatics,,agu
community modeling frameworks,,agu
community standards,,agu
"computational models, algorithms",,agu
cyberinfrastructure,,agu
"data assimilation, integration and fusion",,agu
"data management, preservation, rescue",,agu
data mining,,agu
data and information discovery,,agu
"decision analysis (4324, 6309)",,agu
emerging informatics technologies,,agu
"forecasting (2722, 4315, 7924)",,agu
formal logics and grammars,,agu
geospatial,,agu
gis science,,agu
data and information governance,,agu
high-performance computing,,agu
international collaboration,,agu
interoperability,,agu
knowledge representation and knowledge bases,,agu
machine-to-machine communication,,agu
machine learning (0555),,agu
markup languages,,agu
metadata,,agu
metadata: provenance,,agu
metadata: quality,,agu
"modeling (0466, 0545, 0798, 1847, 4255, 4316)",,agu
natural language processing,,agu
numerical algorithms,,agu
ontologies,,agu
portals and user interfaces,,agu
"query languages for science, markup languages, ontologies",,agu
real-time and responsive information delivery (4346),,agu
rules and logic,,agu
scientific reasoning/inference,,agu
semantic web and semantic integration,,agu
sensor web,,agu
social networks,,agu
software tools and services,,agu
software re-use,,agu
"spatial analysis and representation (0500, 3252)",,agu
standards,,agu
statistical methods: descriptive (4318),,agu
statistical methods: inferential (4318),,agu
"temporal analysis and representation (1872, 3270, 4277, 4475)",,agu
"uncertainty (1873, 3275)",,agu
virtual globes,,agu
visualization and portrayal (0530),,agu
web services,,agu
workflow,,agu
"coronal mass ejections (4305, 7513)",,agu
cosmic rays,,agu
discontinuities (7811),,agu
"ejecta, driver gases, and magnetic clouds",,agu
energetic particles (7514),,agu
heliopause and solar wind termination,,agu
heliosphere/interstellar medium interactions,,agu
interstellar gas,,agu
"mhd waves and turbulence (2752, 6050, 7836)",,agu
neutral particles (7837),,agu
plasma waves and turbulence,,agu
solar cycle variations (7536),,agu
solar wind plasma,,agu
solar wind sources,,agu
ionosphere (6929),,agu
active experiments,,agu
auroral ionosphere (2704),,agu
current systems (2721),,agu
electric fields (2712),,agu
equatorial ionosphere,,agu
ion chemistry and composition (0335),,agu
ionization processes (7823),,agu
ionosphere/atmosphere interactions (0335),,agu
ionosphere/magnetosphere interactions (2736),,agu
ionospheric disturbances,,agu
ionospheric dynamics,,agu
ionospheric irregularities,,agu
ionospheric storms (7949),,agu
meteor-trail physics,,agu
midlatitude ionosphere,,agu
modeling and forecasting,,agu
particle precipitation,,agu
"planetary ionospheres (5435, 5729, 6026)",,agu
plasma interactions with dust and aerosols (7849),,agu
plasma convection (2760),,agu
plasma temperature and density,,agu
plasma waves and instabilities (2772),,agu
polar cap ionosphere,,agu
solar radiation and cosmic ray effects,,agu
topside ionosphere,,agu
wave/particle interactions (7867),,agu
"wave propagation (0689, 3285, 4275, 4455, 6934)",,agu
magnetospheric physics (6939),,agu
auroral phenomena (2407),,agu
cusp,,agu
electric fields (2411),,agu
energetic particles: precipitating,,agu
energetic particles: trapped,,agu
field-aligned currents and current systems (2409),,agu
"forecasting (1922, 4315, 7924, 7964)",,agu
"magnetic reconnection (7526, 7835)",,agu
magnetopause and boundary layers,,agu
magnetosphere: inner,,agu
magnetosphere: outer,,agu
magnetosphere interactions with satellites and rings,,agu
magnetosphere/ionosphere interactions (2431),,agu
magnetospheric configuration and dynamics,,agu
magnetotail boundary layers,,agu
"mhd waves and instabilities (2149, 6050, 7836)",,agu
numerical modeling,,agu
"planetary magnetospheres (5443, 5737, 6033)",,agu
plasma convection (2463),,agu
plasma sheet,,agu
plasma waves and instabilities (2471),,agu
polar cap phenomena,,agu
solar wind interactions with unmagnetized bodies,,agu
solar wind/magnetosphere interactions,,agu
"magnetic storms and substorms (4305, 7954)",,agu
substorms,,agu
marine geology and geophysics,,agu
back-arc basin processes,,agu
continental shelf and slope processes (4219),,agu
gas and hydrate systems,,agu
marine magnetics and paleomagnetics (1550),,agu
marine electromagnetics,,agu
"gravity and isostasy (1218, 1222)",,agu
heat flow (benthic),,agu
"hydrothermal systems (0450, 1034, 3616, 4832, 8135, 8424)",,agu
littoral processes,,agu
marine hydrogeology,,agu
marine sediments: processes and transport,,agu
"marine seismics (0935, 7294)",,agu
"micropaleontology (0459, 4944)",,agu
midocean ridge processes,,agu
ocean drilling,,agu
oceanic hotspots and intraplate volcanism,,agu
oceanic plateaus and microcontinents,,agu
oceanic transform and fracture zone processes,,agu
"plate tectonics (8150, 8155, 8157, 8158)",,agu
ophiolites (8140),,agu
"seafloor morphology, geology, and geophysics",,agu
ocean observatories and experiments,,agu
"subduction zone processes (1031, 3613, 8170, 8413)",,agu
submarine landslides,,agu
submarine tectonics and volcanism,,agu
"submergence instruments: rov, auv, submersibles",,agu
"mathematical geophysics (0500, 4307, 4314, 4400, 7833)",,agu
fourier analysis (3255),,agu
instability analysis (4312),,agu
inverse theory,,agu
numerical approximations and analysis (4260),,agu
"persistence, memory, correlations, clustering (3265, 4313, 7857)",,agu
"prediction (3245, 4263, 4315)",,agu
"probabilistic forecasting (3238, 4315)",,agu
"spatial analysis (0500, 1980, 4319)",,agu
"spectral analysis (3205, 3280, 4319)",,agu
"stochastic processes (3235, 4468, 4475, 7857)",,agu
"time series analysis (1872, 1988, 4277, 4475)",,agu
"uncertainty quantification (1873, 1990)",,agu
"wavelet transform (3255, 4455)",,agu
"wave propagation (0689, 2487, 4275, 4455, 6934)",,agu
atmospheric processes,,agu
atmospheric electricity,,agu
balanced dynamical models,,agu
"climate change and variability (1616, 1635, 3309, 4215, 4513)",,agu
boundary layer processes,,agu
"climatology (1616, 1620, 3305, 4215, 8408)",,agu
clouds and aerosols,,agu
clouds and cloud feedbacks,,agu
convective processes,,agu
data assimilation,,agu
general circulation (1223),,agu
idealized model,,agu
"land/atmosphere interactions (1218, 1631, 1843, 4301)",,agu
large eddy simulation,,agu
monte carlo technique,,agu
mesoscale meteorology,,agu
mesospheric dynamics,,agu
model calibration (1846),,agu
"middle atmosphere dynamics (0341, 0342)",,agu
north american monsoon,,agu
numerical approximations and analyses (1849),,agu
"global climate models (1626, 4928)",,agu
"ocean/atmosphere interactions (0312, 4301, 4504)",,agu
"paleoclimatology (0473, 4900)",,agu
"planetary meteorology (5445, 5739)",,agu
polar meteorology,,agu
precipitation (1854),,agu
radiative processes,,agu
regional modeling (4316),,agu
remote sensing (4337),,agu
stratosphere/troposphere interactions,,agu
stratospheric dynamics,,agu
synoptic-scale meteorology,,agu
subgrid-scale (sgs) parameterization,,agu
theoretical modeling (4316),,agu
thermospheric dynamics (0358),,agu
tropical convection,,agu
tropical cyclones,,agu
tropical dynamics,,agu
tropical meteorology,,agu
tropopause dynamics,,agu
acoustic-gravity waves,,agu
tides and planetary waves,,agu
wildland fire model,,agu
mineralogy and petrology,,agu
"geochemical modeling (1009, 8410)",,agu
"thermodynamics (0766, 1011, 8411)",,agu
"reactions and phase equilibria (1012, 8412)",,agu
"subduction zone processes (1031, 3060, 8170, 8413)",,agu
"mid-oceanic ridge processes (1032, 8416)",,agu
"intra-plate processes (1033, 8415)",,agu
"hydrothermal systems (0450, 1034, 3017, 4832, 8135, 8424)",,agu
alteration and weathering processes (1039),,agu
magma chamber processes (1036),,agu
magma genesis and partial melting (1037),,agu
mantle processes (1038),,agu
mineral and crystal chemistry (1042),,agu
"petrography, microstructures, and textures",,agu
experimental mineralogy and petrology,,agu
igneous petrology,,agu
extrusive structures and rocks,,agu
intrusive structures and rocks,,agu
layered magma chambers,,agu
metamorphic petrology,,agu
thermobarometry,,agu
pressure-temperature-time paths,,agu
fluid flow,,agu
ultra-high pressure metamorphism,,agu
ultra-high temperature metamorphism,,agu
"meteorite mineralogy and petrology (1028, 6240)",,agu
mineral occurrences and deposits,,agu
planetary mineralogy and petrology (5410),,agu
sedimentary petrology,,agu
"field relationships (1090, 8486)",,agu
mineral physics,,agu
creep and deformation,,agu
defects,,agu
elasticity and anelasticity,,agu
electrical properties,,agu
equations of state,,agu
high-pressure behavior,,agu
"nmr, mossbauer spectroscopy, and other magnetic techniques",,agu
"optical, infrared, and raman spectroscopy",,agu
physical thermodynamics,,agu
shock wave experiments,,agu
surfaces and interfaces,,agu
thermal expansivity,,agu
"x-ray, neutron, and electron spectroscopy and diffraction",,agu
natural hazards,,agu
"atmospheric (0370 3322, 3339)",,agu
"geological (0742, 4564, 7212, 7280, 8419, 8425, 8426, 8428, 8488)",,agu
"hydrological (1810, 1812, 1821)",,agu
"oceanic (1641, 4564)",,agu
"space weather (2101, 2788, 7900)",,agu
multihazards,,agu
