term,definition,source
chlorofluorocarbons,,uat
plutinos,,uat
comet surfaces,,uat
twilight,,uat
zodiacal dust bands,,uat
methane,,uat
moldavites,,uat
sungrazers,,uat
sunskirters,,uat
meteor radiants,,uat
geocorona,,uat
zenith hourly rate,,uat
bediasites,,uat
ionized coma gases,,uat
nitrous oxide,,uat
sundivers,,uat
twotinos,,uat
d layer,,uat
eros,,uat
indochinites,,uat
mars trojans,,uat
comet interiors,,uat
bolides,,uat
coma dust,,uat
carbon dioxide,,uat
night sky brightness,,uat
jupiter trojans,,uat
comet tail streamers,,uat
australites,,uat
e layer,,uat
scattered disk objects,,uat
neutral coma gases,,uat
carbonaceous chondrites,,uat
chondrules,,uat
kracht group,,uat
kreutz group,,uat
meyer group,,uat
gegenschein,,uat
marsden group,,uat
informatics,,agu
community modeling frameworks,,agu
community standards,,agu
"computational models, algorithms",,agu
cyberinfrastructure,,agu
"data assimilation, integration and fusion",,agu
"data management, preservation, rescue",,agu
data mining,,agu
data and information discovery,,agu
decision analysis,,agu
emerging informatics technologies,,agu
formal logics and grammars,,agu
geospatial,,agu
gis science,,agu
data and information governance,,agu
high-performance computing,,agu
international collaboration,,agu
interoperability,,agu
knowledge representation and knowledge bases,,agu
machine-to-machine communication,,agu
machine learning,,agu
markup languages,,agu
metadata,,agu
metadata: provenance,,agu
metadata: quality,,agu
modeling,,agu
natural language processing,,agu
numerical algorithms,,agu
ontologies,,agu
portals and user interfaces,,agu
"query languages for science, markup languages, ontologies",,agu
real-time and responsive information delivery,,agu
rules and logic,,agu
scientific reasoning/inference,,agu
semantic web and semantic integration,,agu
sensor web,,agu
social networks,,agu
software tools and services,,agu
software re-use,,agu
spatial analysis and representation,,agu
standards,,agu
statistical methods: descriptive,,agu
statistical methods: inferential,,agu
temporal analysis and representation,,agu
virtual globes,,agu
visualization and portrayal,,agu
web services,,agu
workflow,,agu
cosmic rays,,agu
"ejecta, driver gases, and magnetic clouds",,agu
heliopause and solar wind termination,,agu
heliosphere/interstellar medium interactions,,agu
interstellar gas,,agu
mhd waves and turbulence,,agu
plasma waves and turbulence,,agu
solar cycle variations,,agu
solar wind plasma,,agu
solar wind sources,,agu
active experiments,,agu
auroral ionosphere,,agu
current systems,,agu
equatorial ionosphere,,agu
ion chemistry and composition,,agu
ionosphere/atmosphere interactions,,agu
ionosphere/magnetosphere interactions,,agu
ionospheric disturbances,,agu
ionospheric dynamics,,agu
ionospheric irregularities,,agu
ionospheric storms,,agu
meteor-trail physics,,agu
midlatitude ionosphere,,agu
modeling and forecasting,,agu
particle precipitation,,agu
plasma temperature and density,,agu
polar cap ionosphere,,agu
solar radiation and cosmic ray effects,,agu
topside ionosphere,,agu
auroral phenomena,,agu
cusp,,agu
energetic particles: precipitating,,agu
energetic particles: trapped,,agu
field-aligned currents and current systems,,agu
magnetopause and boundary layers,,agu
magnetosphere: inner,,agu
magnetosphere: outer,,agu
magnetosphere interactions with satellites and rings,,agu
magnetosphere/ionosphere interactions,,agu
magnetospheric configuration and dynamics,,agu
magnetotail boundary layers,,agu
numerical modeling,,agu
plasma sheet,,agu
polar cap phenomena,,agu
solar wind interactions with unmagnetized bodies,,agu
solar wind/magnetosphere interactions,,agu
magnetic storms and substorms,,agu
substorms,,agu
mathematical geophysics,,agu
fourier analysis,,agu
instability analysis,,agu
inverse theory,,agu
numerical approximations and analysis,,agu
"persistence, memory, correlations, clustering",,agu
prediction,,agu
probabilistic forecasting,,agu
spatial analysis,,agu
spectral analysis,,agu
stochastic processes,,agu
time series analysis,,agu
uncertainty quantification,,agu
wavelet transform,,agu
natural hazards,,agu
atmospheric,,agu
geological,,agu
hydrological,,agu
oceanic,,agu
multihazards,,agu
methods,,agu
analogue modeling,,agu
catastrophe and catastrophe theory,,agu
extreme events,,agu
mathematical and computer modeling,,agu
"monitoring, forecasting, prediction",,agu
physical modeling,,agu
precursors,,agu
statistical analysis,,agu
spatial modeling,,agu
climate impact,,agu
health impact,,agu
human impact,,agu
spatial decision support systems,,agu
megacities and urban environment,,agu
exposure,,agu
resilience,,agu
risk,,agu
sustainable development,,agu
vulnerability,,agu
disaster relief,,agu
disaster resilience,,agu
disaster risk analysis and assessment,,agu
disaster risk communication,,agu
disaster management,,agu
economic impacts of disasters,,agu
remote sensing and disasters,,agu
disaster policy,,agu
disaster mitigation,,agu
early warning systems,,agu
emergency management,,agu
preparedness and planning,,agu
microzonation and macrozonation,,agu
community management,,agu
emergency response and evacuations,,agu
recovery and reconstruction after disaster,,agu
contingency planning,,agu
international organizations and natural disasters,,agu
interaction between science and disaster management authorities,,agu
sociology of disasters,,agu
psychology of disasters,,agu
miscellaneous,,agu
radio science,,agu
electromagnetic noise and interference,,agu
interferometry,,agu
ionospheric physics,,agu
ionospheric propagation,,agu
radar astronomy,,agu
radar atmospheric physics,,agu
radio astronomy,,agu
radio oceanography,,agu
radio wave propagation,,agu
remote sensing,,agu
signal processing,,agu
space and satellite communication,,agu
tomography and imaging,,agu
waves in plasma,,agu
"solar physics, astrophysics, and astronomy",,agu
celestial mechanics,,agu
coronal holes,,agu
flares,,agu
magnetic fields,,agu
prominence eruptions,,agu
radio emissions,,agu
solar activity cycle,,agu
solar and stellar variability,,agu
solar irradiance,,agu
stellar astronomy,,agu
stellar interiors and dynamo theory,,agu
ultraviolet emissions,,agu
"x-rays, gamma rays, and neutrinos",,agu
space plasma physics,,agu
active perturbation experiments,,agu
chaos,,agu
charged particle motion and acceleration,,agu
electrostatic structures,,agu
kinetic and mhd theory,,agu
kinetic waves and instabilities,,agu
laboratory studies and experimental techniques,,agu
mathematical and numerical techniques,,agu
parametric processes,,agu
plasma energization,,agu
radiation processes,,agu
shock waves,,agu
solitons and solitary waves,,agu
spacecraft/atmosphere interactions,,agu
"spacecraft sheaths, wakes, charging",,agu
stochastic phenomena,,agu
transport processes,,agu
turbulence,,agu
wave/wave interactions,,agu
absorption,Decrease of radiant energy (relative to the background continuum spectrum).,spase
access rights,Permissions granted or denied by the host of a product to allow other users to access and use the resource.,spase
ac electric field,Alternating electric field component of a wave.,spase
ac magnetic field,Alternating magnetic field component of a wave.,spase
active,Exerting an influence or producing a change or effect. An active measurement is one which produces a transmission or excitation as a part of the measurement cycle.,spase
active region,"A localized, transient volume of the solar atmosphere in which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed.",spase
activity index,"An indication, derived from one or more measurements, of the level of activity of an object or region, such as sunspot number, F10.7 flux, Dst, or the Polar Cap Indices.",spase
adiabatic invariant,A property of a physical system usually related to periodic phenomena that remains constant under slowly varying conditions.,spase
aerosol,A suspension of fine solid or liquid particles in a gas.,spase
akasofu epsilon,"A measure of the magnetopause energy flux and an indicator of the solar wind power available for subsequent magnetospheric energization. Defined as: V*B^2*l^2sin(theta/2)^4 where B is the IMF, l is an empirical scaling parameter equal to 7 RE, and theta = tan(BY /BZ)^-1 the IMF clock angle.",spase
albedo,The ratio of reflected radiation from the surface to incident radiation upon it.,spase
alfven mach number,The ratio of the bulk flow speed to the Alfven speed.,spase
alfven velocity,Phase velocity of the Alfven wave; In SI units it is the velocity of the magnetic field divided by the square root of the mass density times the permeability of free space (mu).,spase
alpha particle,A positively charged nuclear particle that consists of two protons and two neutrons.,spase
ancillary,"A complementary item which can be subordinate, subsidiary, auxiliary, supplementary to the primary item.",spase
anisotropy,Direction-dependent property.,spase
annotation type,A classification for an annotation.,spase
anomaly,An interval where measurements or observations may be adversely affected.,spase
antenna,A sensor used to measure electric potential.,spase
api,"An application programming interface (API) is a form of interface that allows applications to access the features or data of an operating system, application, or other service. An API may have a required protocol or set of principles. Some examples of protocols are SOAP, XML-RPC and JSON-RPC. An example of an API with a set of principles is REST.",spase
application interface,The type of interface for the application.,spase
archive specialist,"An individual who is an expert on a collection of resources and may also be knowledgeable of the phenomenon and related physics represented by the resources. This includes librarians, curators, archive scientists and other experts.",spase
area,"Integration over the extent of a planar region, or of the surface of a solid.",spase
ariel,The fourth-largest moon of Uranus.,spase
array,"A sequence of values corresponding to the elements in a rectilinear, n-dimension matrix. Each value can be referenced by a unique index.",spase
arrival direction,An angular measure of the direction from which an energetic particle or photon was incident on a detector. The angles may be measured in any coordinate system.,spase
ascii,A sequence of characters that adheres to American Standard Code for Information Interchange (ASCII) which is an 7-bit character-coding scheme.,spase
association type,A characterization of the role or purpose of an associated resource.,spase
asteroid,A small extraterrestrial body consisting mostly of rock and metal that is in orbit around the sun.,spase
atmosphere,The neutral gases surrounding a body that extends from the surface and is bound to the body by virtue of the gravitational attraction.,spase
atom,Matter consisting of a nucleus surrounded by electrons which has no net charge.,spase
atomic number detected,The number of protons in the nucleus of an atom as determined by a detector.,spase
author,"The composer of a literary work. This can include presentations, articles, books, white papers or any similar published work.",spase
auroral region,The region in the atmospheric where electrically-charged particles bombarding the upper atmosphere of a planet in the presence of a magnetic field produce an optical phenomenon.,spase
automatic,Determined by the analysis or assessment performed by a program or server.,spase
auto spectrum,"The Fourier transform of the auto correlation function for physical or empirical observations, which describes the general dependence of the time series data values at one instant on the time series data values at another instant.",spase
availability,An indication of the method or service which may be used to access the resource.,spase
average,The statistical mean; the sum of a set of values divided by the number of values in the set.,spase
average charge state,A measure of the composite deficit (positive) or excess (negative) of electrons with respect to protons.,spase
avi,Audio Video Interleave (AVI) a digital format for movies that conforms to the Microsoft Windows Resource Interchange File Format (RIFF).,spase
azimuth angle,"The angle between the projection into the i-j plane of a position or measured vector and the i-axis of the coordinate system. Mathematically defined as arctan(j/i). This term could be also applied to angles measured in different planes, for example the IMF clock angle defined as arctan(|By|/Bz).",spase
bandwidth,Integration over the width a frequency band.,spase
base64,"A data encoding scheme whereby binary-encoded data is converted to printable ASCII characters. It is defined as a MIME content transfer encoding for use in Internet e-mail. The only characters used are the upper- and lower-case Roman alphabet characters (A-Z, a-z), the numerals (0-9), and the ""+"" and ""/"" symbols, with the ""="" symbol as a special suffix (padding) code.",spase
binary,A direct representation of the bits which may be stored in memory on a computer.,spase
bounce motion,"The second adiabatic invariant is associated with periodic bounce motion of charged particles trapped between two magnetic mirrors on a magnetic field line. The second invariant, termed J, is defined by using the integral J = m &int;  v|| * ds where m is the mass of the charged particle, v|| is the particle velocity along the field line, and ds represents elemental arc lengths along the field line. The second adiabatic invariant is conserved as long as changes in the background magnetic field occur at time scales much longer than the bounce time of the charged particles.",spase
bow shock crossing,"A crossing of the boundary between the undisturbed (except for foreshock effects) solar wind and the shocked, decelerated solar wind of the magnetosheath.",spase
browse,A representation of an image which is suitable to reveal most or all of the details of the image.,spase
bzip2,An open standard algorithm by Julian Seward using Burrows-Wheeler block sorting and Huffman coding. See <http://www.bzip.org/>,spase
ca k,A spectrum with a wavelength of range centered near 393.5 nm. VSO nickname: Ca-K image with range of 391.9 nm to 395.2 nm.,spase
calibrated,"Data wherein sensor outputs have been convolved with instrument response function, often irreversibly, to yield data in physical units. Similar to NASA Level 2.",spase
callisto,A second largest moon of Jupiter and the third-largest moon in the solar system.,spase
carrington,"A coordinate system which is centered at the Sun and is ""fixed"" with respect to the synodic rotation rate; the mean synodic value is about 27.2753 days. The Astronomical Almanac gives a value for Carrington longitude of 349.03 degrees at 0000 UT on 1 January 1995.",spase
cartesian,"A representation in which a position vector or a measured vector (e.g., field or flow) is specified by its components along the base axes of the coordinate system.",spase
cdf,Common Data Format (CDF). A binary storage format developed at Goddard Space Flight Center (GSFC).,spase
cef,Cluster Exchange Format (CEF) is a self-documenting ASCII format designed for the exchange of data. There are two versions of CEF which are not totally compatible.,spase
cef1,"Cluster Exchange Format (CEF), version 1, is a self-documenting ASCII format designed for the exchange of data. The metadata contains information compatible with the ISTP recommendations for CDF.",spase
cef2,"Cluster Exchange Format (CEF), version 2, is a self-documenting ASCII format designed for the exchange of data and introduced for Cluster Active Archive. Compared to version 1, the metadata description of vectors and tensors is different.",spase
cgm,"Corrected Geomagnetic - A coordinate system from a spatial point with GEO radial distance and geomagnetic latitude and longitude, follow the epoch-appropriate IGRF/DGRF model field vector through to the point where the field line crosses the geomagnetic dipole equatorial plane. Then trace the dipole magnetic field vector Earthward from that point on the equatorial plane, in the same hemisphere as the original point, until the initial radial distance is reached. Designate the dipole latitude and longitude at that point as the CGM latitude and longitude of the original point. See <http://nssdc.gsfc.nasa.gov/space/cgm/cgmm_des.html>",spase
channeltron,"An instrument that detects electrons, ions, and UV-radiation, according to the principle of a secondary emission multiplier. It is typically used in electron spectroscopy and mass spectrometry.",spase
characteristic,A quantity which can be easily identified and measured in a given environment.,spase
charge flux,"The number of ionized particles passing through a unit area per unit time, for instance as measured by a Faraday cup.",spase
charge state,"Charge of a fully or partially stripped ion, in units of the charge of a proton. Charge state of a bare proton = 1.",spase
child event of,A descendant or caused by another resource.,spase
circular,"Relative to polarization, right-hand circularly polarized light is defined such that the electric field is rotating clockwise as seen by an observer towards whom the wave is moving. Left-hand circularly polarized light is defined such that the electric field is rotating counterclockwise as seen by an observer towards whom the wave is moving. The polarization of magnetohydrodynamic waves is specified with respect to the ambient mean magnetic field : right-hand polarized waves have a transverse electric field component which turns in a right-handed sense (that of the gyrating electrons) around the magnetic field.",spase
classification method,The technique used to determine the characteristics of an object.,spase
cli,A command-line interface (CLI) is a form of interface where input to an application is provided as lines of text typically within a shell. ,spase
coherence,"The coherence, Cxy, between two signals x(t) and y(t) is a real-valued function. The square of the coherence is defined by using: Cxy^2 = |Gxy(f)|^2 / Gxx(f)Gyy(f) where Gxy(f) is equal to the cross-spectral density between two time series denoted as x and y, respectively, and Gxx(f) and Gyy(f) are equal to the auto-spectral densities of the same two time series. Values of Cxy 2 always lie in the range between zero and one, 0 = Cxy 2 = 1, in accordance with the Cauchy-Schwarz inequality.",spase
co investigator,An individual who is a scientific peer and major participant in an investigation.,spase
color bar,A spectrum or set of colors used to represent data values.,spase
column,A two-dimensional measure of a quantity. The column is the area over which the quantity is measured.,spase
comet,A relatively small extraterrestrial body consisting of a frozen mass that travels around the sun in a highly elliptical orbit.,spase
component,Projection of a vector along one of the base axes of a coordinate system.,spase
confidence,An expression of how certain that a quantity is valid or accurate.,spase
confidence rating,A classification of the certainty of an assertion.,spase
contributor,An entity responsible for making contributions to the content of the resource.,spase
convention,"A set of agreed, stipulated, or generally accepted approaches or methods of adopting a standard or implementing a approach. ",spase
coordinate representation,The method or form for specifying a given point or vector in a given coordinate system.,spase
coordinate system name,"Identifies the coordinate system in which the position, direction or observation has been expressed.",spase
co pi,An individual who is peer of a principal investigator and is an administrative and scientific lead for an investigation.,spase
core,"The central or main part of an object or calculated distribution. For example, the part of a distribution of particles at low energies that is a thermal (Maxwellian) population. ",spase
coronal hole,"An extended region of the corona, exceptionally low in density and associated with unipolar photospheric regions. A coronal hole can be an ""open"" magnetic field in the corona and (perhaps) inner heliosphere which has a faster than average outflow (wind); A region of lower than ""quiet"" ion and electron density in the corona; or a region of lower peak electron temperature in the corona than in the ""quiet"" corona.",spase
coronal mass ejection,A solar event (CME) that involves a burst of plasma ejected into the interplanetary medium. CME's may be observed remotely relatively near the sun or in situ in the interplanetary medium. The latter type of observations are often referred to as Interplanetary CME's (ICME's).,spase
coronograph,An instrument which can image things very close to the Sun by using a disk to block the Sun's bright surface which reveals the faint solar corona and other celestial objects.,spase
count rate,The number of events per unit time.,spase
counts,The number of detection events occurring in a detector over the detector accumulation time.,spase
cross spectrum,The Fourier transform of the cross correlation of two physical or empirical observations.,spase
cso,"Corrected Solar Orbital - A coordinate system related to Earth where X is anti-sunward, Y along the orbital velocity direction.",spase
csv,Comma Separated Value - A data exchange format defined by RFC 4180.,spase
current,The flow of electrons through a conductor caused by a potential difference.,spase
cylindrical,"A coordinate representation of a position vector or measured vector (field or flow) by its k-component, the magnitude of its projection into the i-j plane, and the azimuthal angle of the i-j plane projection.",spase
data,"A collection of organized information, usually the results of experience, observation or experiment, or a set of premises. This may consist of numbers, words, or images, particularly as measurements or observations of a set of variables.",spase
data producer,An individual who generated the resource and is familiar with its provenance.,spase
data quality,"An ancillary parameter that denotes the standard or degree of accuracy, trustworthiness, or usefulness of another parameter.",spase
deimos,The smaller and outermost of the two natural satellites of Mars.,spase
deputy pi,An individual who is an administrative or scientific leader for an investigation operating under the supervision of a Principal Investigator.,spase
derived from,A transformed or altered version of a resource instance.,spase
developer,The developer of a system to imitate a situation or process.,spase
deviation,The difference between an observed value and the expected value of a quantity.,spase
differential,A measurement within a narrow range of energy and/or solid angle.,spase
dione,The forth-largest moon of Saturn.,spase
direction,"The spatial relation between an object and another object, the orientation of the object or the course along which the object points or moves.",spase
directional,A measurement within a narrow range of solid angle.,spase
direction angle,The angle between a position vector or measured vector (or one of its projections onto a plane) and one of the base axes of the coordinate system.,spase
direction cosine,The cosine of the angle between two vectors usually between a vector and one of the basis axes defining a Cartesian coordinate system. Three angles and thus three direction cosines are required to define a vector direction in a three dimensional Euclidean space.,spase
display type,The general styling or type of plot that is suitable for the variable.,spase
dm,"Dipole Meridian - A coordinate system centered at the observation point. Z axis is parallel to the Earth's dipole axis, positive northward. X is in the plane defined by Z and the line linking the observation point with the Earth's center. Y is positive eastward. See <http://cdpp.cnes.fr/00428.pdf>",spase
document type,"A characterization of the content, purpose, or style of the document.",spase
doppler frequency,"Change in the frequency of a propagating wave due to motion of the source, the observer, the reflector, or the propagation medium.",spase
dopplergram,A map or image depicting the spatial distribution of line-of-sight velocities of the observed object.,spase
double sphere,"A dipole antenna of which the active (sensor) elements are small spheres located at the ends of two wires deployed in the equatorial plane, on opposite sides of a spinning spacecraft.",spase
d region,The layer of the ionosphere that exists approximately 50 to 95 km above the surface of the Earth. One of several layers in the ionosphere.,spase
drift motion,"The third invariant for charged particle motion in a dipolar magnetic field is associated with drift of its guiding center in the equatorial plane. The conserved quantity, J<sub>2</sub>, is equal to q&Phi; where q is the particle charge and &Phi; is the magnetic flux enclosed within the particle drift path. ",spase
dust,Free microscopic particles of solid material.,spase
dust detector,An instrument which determines the mass and speed of ambient dust particles.,spase
dynamic pressure,"Dynamic pressure is a measure of the kinetic energy per unit volume of a fluid. For instance, the solar wind dynamic pressure or ram pressure for a purely proton plasma is equal to m<sub>p</sub> n V<sup>2</sup> where m<sub>p</sub> is the proton mass, n the proton number density, and V the solar wind speed.",spase
earth,The third planet from the sun in our solar system.,spase
ecd,"Eccentric Dipole (ECD) coordinate system that aligns with a dipole whose origin and orientation may be different from the physical center and spin axis of the containing body. The IGRF-12 coefficients for 2015 are used to determine the origin for the earth. The 2015 positions are North dip pole: latitude: 86.29, longitude -160.06. South dip pole latitide: -64.28, longitude: 136.59, North geometric pole latitude: 80.37, longitude: -72.63, South geomagnetic pole latitude: -80.37, longitude: 107.37ECD is defined in doi:10.1186/s40623-015-0228-9.",spase
ecef,"The Earth-Centered, Earth-Fixed (ECEF) coordinate system has point (0,0,0) defined as the center of mass of the Earth. Its axes are aligned with the International Reference Pole (IRP) and International Reference Meridian (IRM). The x-axis intersects the sphere of the Earth at 0 degree latitude (Equator) and 0 degree longitude (Greenwich). The z-axis points north. The y-axis completes the right handed coordinate system.",spase
eit wave,"A wave in the corona of the Sun which produce shock waves on the Sun's chromosphere (Moreton Waves). EIT Waves are produced by large solar flare and expand outward at about 1,000 km/s. It usually appears as a slowly moving diffuse arc of brightening in H-alpha, and may travel for several hundred thousand km.",spase
electric,The physical attribute that exerts an electrical force.,spase
electric field,"A region of space around a charged particle, or between two voltages within which a force is exerted on charged objects in its vicinity. An electric field is the electric force per unit charge.",spase
electromagnetic,"Electric and magnetic field variations in time and space that propagate through a medium or a vacuum with the wave's propagation, electric field, and magnetic field vectors forming an orthogonal triad. Waves in this category are detected by having their field quantities measured.",spase
electron,An elementary particle consisting of a charge of negative electricity equal to about 1.602 x 10^(-19) Coulomb and having a mass when at rest of about 9.109534 x 10^(-28) gram.,spase
electron drift instrument,An active experiment to measure the electron drift velocity based on sensing the displacement of a weak beam of electrons after one gyration in the ambient magnetic field.,spase
electrostatic,Collective longitudinal electric-field and plasma oscillations trapped within a body of plasma.,spase
electrostatic analyser,"An instrument which uses charged plates to analyze the mass, charge and kinetic energies of charged particles which enter the instrument.",spase
elevation angle,The angle between the position or measured vector and the i-j plane of the coordinate system. Mathematically defined as arctan(k/SQRT(i^2+j^2)).,spase
emissivity,The energy emitted spontaneously per unit bandwidth (typically frequency) per unit time per unit mass of source. Emissivity is usually integrated over all directions/solid angles.,spase
enceladus,The sixth-largest moon of Saturn. It is currently endogenously active. The smallest known body in the Solar System that is geologically active today.,spase
encoded parameter,"A variable that uses successive bits to encode, this is bitwise encode, a set of conditions by using a composited multibit numeric value. A common example is a bitwise encoded flag that denotes whether various possible errors that may affect a particular measurement. For example, a bit value equal to zero may indicate the absence of a particular error condition while a value equal to one would indicate the possibility that the associated datum should be ignored or used with caution due to the same error categorization.",spase
encoding,A set of unambiguous rules that establishes the representation of information within a file.,spase
energetic particle instrument,"An instrument that measures fluxes of charged particles as a function of time, direction of motion, mass, charge and/or species.",spase
energetic solar particle event,An enhancement of interplanetary fluxes of energetic ions accelerated by interplanetary shocks and/or solar flares.,spase
energy,The capacity for doing work as measured by the capability of doing work (potential energy) or the conversion of this capability to motion (kinetic energy),spase
energy density,The amount of energy per unit volume.,spase
energy flux,The amount of energy passing through a unit area in a unit time.,spase
