"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"downcutting","1","1","GCMD","Erosional downcutting or downward erosion or vertical erosion is a geological process that deepens the channel of a stream or valley by removing material from the stream's bed or the valley's floor.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL PROCESSES -> DOWNCUTTING']"
"downslope wind","1","1","Semantic Web for Earth and Environment Technology Ontology","A wind directed down a slope, often used to describe winds produced by processes larger in scale than the slope.","['downslope wind']"
"downslope wind storm","1","1","Semantic Web for Earth and Environment Technology Ontology","A very strong, usually gusty, and occasionally, violent wind that blows down the lee slope of a mountain range, often reaching its peak strength near the foot of the mountains and weakening rapidly father away from the mountains.","['downslope wind storm']"
"drainage","1","2","GCMD","The pattern followed by the waters of an area as they pass or flow offin surface streams. ;; Pertaining to the process/method that water discharges out of an aquifer.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> DRAINAGE', 'EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DRAINAGE']"
"digital fluxgate magnetometers","1","1","Global Change Master Directory (GCMD)","The fluxgate magnetometers provide two sets of similar measurements. The fluxgates carry a permeable material that changes properties in response to the presence of magnetic fields. Measuring how they change can be correlated to strength of the field down to a half a nanotesla – typical fields in the regions of interest will be about 50 nanotesla. The AFG sensors were provided by the University of California in Los Angeles and the DFG instrumentation was provided by the Space Research Institute of the Austrian Academy of Sciences in Graz, Austria.","['Digital Fluxgate Magnetometers']"
"drainage amount","1","2","GCMD","Amount of water removed from am area. ;; The amount of water being drained from a specified area.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DRAINAGE -> DRAINAGE AMOUNT', 'EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> DRAINAGE -> DRAINAGE AMOUNT']"
"drainage direction","1","1","GCMD","Direction in which standing water is removed from am area.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> DRAINAGE -> DRAINAGE DIRECTION']"
"drainage wind","1","0","Semantic Web for Earth and Environment Technology Ontology","","['drainage wind']"
"drizzle","1","1","GCMD","Precipitation consisting of numerous minute droplets of water less than 0.5 mm (500 micrometers) in diameter.","['EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> LIQUID PRECIPITATION -> DRIZZLE']"
"droplet size","1","1","GCMD","The measured dimensions of a rain droplet.","['EARTH SCIENCE -> ATMOSPHERE -> PRECIPITATION -> DROPLET SIZE']"
"dropwindsondes","1","0","Global Change Master Directory (GCMD)","","['DROPWINDSONDES']"
"drought duration","1","1","GCMD","Drought duration refers to the length of time over which drought conditions persist. Drought frequency, duration, and severity are often used together as a means to describe and evaluate drought conditionsin a given area (i.e., how often an area is affected by drought, how long is it affected, and how severely it is affected).","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> DROUGHTS -> DROUGHT DURATION']"
"divergence","1","1","GCMD","Pressure fluctuations at the Earth's surface are produced by movements of air which produce changes in the mass of air in a vertical column above the ground. A net gain in mass produces an increase in pressure leading to a high pressure system. A net loss of mass gives rise to a low. When there is a horizontal flow of air into a region (convergence) a vertical upward movement of air occurs otherwise there would be a continual increase in density of the air. Divergence occurs when there is a net horizontal outward flow of air from a region. This leads to a vertical downward movement of air.","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> WIND DYNAMICS -> DIVERGENCE']"
"diurnal movements","1","1","GCMD","Diurnal movements are movements that occur at daily intervals as appliedto such daily rhythms as leaf or flower opening and closing or thecharacteristic rise and fall of temperature associated with the hours oflight and darkness.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> SPECIES/POPULATION INTERACTIONS -> DIURNAL MOVEMENTS']"
"district heating plant","1","1","GEMET","Plant for heating all houses in a district; it consists of a large, efficient, centralized boiler plant or ""waste"" steam from a power station. The heat is distributed by means of low-pressure steam or high-temperature water to the consumers.","['district heating plant']"
"district heating","1","1","GEMET","The supply of heat, either in the form of steam or hot water, from a central source to a group of buildings.","['district heating']"
"digital image processing technique","1","1","GEMET","Techniques employed in the calibration of image data, the correction or reduction of errors occurring during capture or transmission of the data and in various types of image enhancement-operations which increase the ability of the analyst to recognize features of interest.","['digital image processing technique']"
"digital wave processing experiment","1","1","Global Change Master Directory (GCMD)","The Digital Wave Processing Experiment (DWP) on the Cluster-II spacecraft, is a component of the Wave Experiment Consortium. The wide variety of geophysical plasmas that will be investigated by the Cluster mission contain waves with a frequency range from DC to over 100 kHz with both magnetic and electric components. The characteristic duration of these waves extends from a few milliseconds to minutes and a dynamic range of over 90 dB is desired. The DWP instrument employs a novel architecture based on the use of transputers with parallel processing and re-alloctable tasks to provide a high-reliability flexible system. DWP is responsible for coordinating WEC operations at several levels. At the lowest level, DWP provides electrical signals to synchronise instrument sampling. At higher levels, DWP time tags data in a consistent manner and provides a facility for constructing more complex WEC modes by means of macros. The processing system within the DWP instrument will also perform particle correlations in order to permit the study of wave/particle interactions. Particle correlation is based on forming autocorrelation functions of the time series of particle detector counts as a function of energy and pitch angle. The basic operations are carried out in DWP resident software using algorithms developed for AMPTE, CRRES, rocket experiments and also from computer simulations. The DWP particle correlator takes raw electron detection pulses from the PEACE instrument and performs software auto-correlation functions (ACF) that are sorted and summed according to instantaneous PEACE selected electron energy. DWP was designed and built by the Space Systems Group of the University of Sheffield. Group: Instrument_Details Entry_ID: DWP Group: Instrument_Identification Instrument_Category: Solar/Space Observing Instruments Instrument_Class: Magnetic Field/Electric Field Instruments Short_Name: DWP Long_Name: Digital Wave Processing Experiment End_Group Group: Associated_Platforms Short_Name: CLUSTER-II End_Group Online_Resource: http://sci.esa.int/science-e/www/object/index.cfm?fobjectid=33024&fbodylongid=1109 Online_Resource: http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=2000-041B&ex=7 Sample_Image: http://sci.esa.int/science-e-media/img/34/hires_36660.JPG Group: Instrument_Logistics Instrument_Start_Date: 2000-07-16 Instrument_Owner: University of Sheffield, England End_Group End_Group","['Digital Wave Processing Experiment']"
"dimension measurement services","1","1","GCMD","Services that compute dimensions of objects visible in an image or other geospatial data.","['EARTH SCIENCE SERVICES -> WEB SERVICES -> DATA PROCESSING SERVICES -> DIMENSION MEASUREMENT SERVICES']"
"direct greenhouse gas emissions","1","1","GEMET","Emissions from sources that are owned or controlled by the reporting entity","['direct greenhouse gas emissions']"
"disaster prevention","1","1","GEMET","The aggregate of approaches and measures to ensure that human action or natural phenomena do not cause or result in disaster or similar emergency. It implies the formulation and implementation of long-range policies and programmes to eliminate or prevent the occurrence of disasters.","['disaster prevention']"
"discharge","1","1","GCMD","The volume of water flow, including any suspended solids which is transported through a given cross-sectional area.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISCHARGE']"
"discharge amount","1","1","GCMD","The volume of water flow, including any suspended solids which is transported through a given cross-sectional area.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISCHARGE -> DISCHARGE AMOUNT']"
"discharge rate","1","1","GCMD","The rate of water flow, including any suspended solids which is transported through a given cross-sectional area.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISCHARGE -> DISCHARGE RATE']"
"discharge/flow","1","1","GCMD","In hydrology, discharge is the volume rate of water flow that is transported through a given cross-sectional area.(Buchanan, T.J. and Somers, W.P., 1969, Discharge Measurements at Gaging Stations: U.S. Geological Survey Techniques of Water-Resources Investigations, Book 3, Chapter A8, p. 1.) It includes any suspended solids (e.g. sediment), dissolved chemicals (e.g. CaCO3(aq)), or biologic material (e.g. diatoms) in addition to the water itself.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> SURFACE WATER -> SURFACE WATER PROCESSES/MEASUREMENTS -> DISCHARGE/FLOW']"
"discrete aurora","1","1","NASA CCMC","Discrete auroral particles are accelerated by two distinct physical mechanisms: quasi-static electric fields, producing monoenergetic peaks, and dispersive Alfven waves, producing broadband electron acceleration. Discrete aurora are responsible for the rays and curtains usually associated with visible active aurora.","['discrete aurora']"
"dispersion frequency","1","1","GCMD","The number of clay particles that separate from one other in moist oil in a single period.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISPERSION -> DISPERSION FREQUENCY']"
"dispersion rate","1","1","GCMD","The rate at which clay particles separate from one other in moist soil.","['EARTH SCIENCE -> TERRESTRIAL HYDROSPHERE -> GROUND WATER -> GROUND WATER PROCESSES/MEASUREMENTS -> DISPERSION -> DISPERSION RATE']"
"dissipation","1","0","SWEET","","['Process -> physical process -> wave process -> medium wave interaction process -> dissipation']"
"dissolution","1","1","GCMD","The process by which a solid or liquid forms a solution in a solvent. In solids this can be explained as the breakdown of the crystal lattice into individual ions, atoms or molecules and their transport into the solvent.","['EARTH SCIENCE -> SOLID EARTH -> GEOCHEMISTRY -> MARINE GEOCHEMICAL PROCESSES -> DISSOLUTION']"
"dissolved co2","1","1","GCMD","The carbon dioxide dissolved in water has even more effect than the oxygen. Oxygen remains as an O2 molecule, whether it's in its gas phase or in solution, but when CO2 is dissolved in water, a small proportion of it reacts chemically with H2O to form carbonic acid, H2CO3. (There's no mystery about that: just add up the six atoms.) In water carbonic acid dissociates rapidly to form a H+ ion and HCO2 (bicarbonate), so it affects the carbonate equilibrium, and pH values change as a result. Dissolved CO2 lowers the average pH of rainwater to 5.7, even where 'acid rain' caused by pollution isn't a factor. The gentle acidity of rainwater is a major source for the weathering of minerals, which the carbonic acid leaches from rocks and which eventually find their way to the ocean.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> KARST PROCESSES -> DISSOLVED CO2']"
"cycle eruptions et rayonnement cosmique au lesia, laboratoire dâ€™etudes spatiales et dâ€™instrumentation en astrophysique, centre national de la recherche scientifique, france","1","1","Global Change Master Directory (GCMD)","The action of (Cycle eruptions and cosmic radiation at LESIA), within the cluster of solar LESIA, fits into the theme of solar-terrestrial relations. The consequences of the activity on our star man, its technology and environment are numerous. An overview of these effects is available here. As its name implies Circle members are studying more specifically the following topics: - The long-term solar cycle (Index forecast spots) - The high energy particles emitted during solar flares - The particles of cosmic radiation of galactic origin","['Cycle Eruptions et Rayonnement Cosmique au Lesia, Laboratoire dâ€™Etudes Spatiales et dâ€™Instrumentation en Astrophysique, Centre National de la Recherche Scientifique, France']"
"cutbank","1","1","GCMD","Also known as a river cliff, is an erosional feature of streams. Cut banks are found in abundance along mature or meandering streams, they are located on the outside of a stream bend, known as a meander.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> CUTBANK']"
"cuspate forelands","1","1","GCMD","Geographical features found on coastlines and created by long shore drift. Made out of sand and shingle, and later stabilized by vegetation, cuspate forelands are triangular-shaped accretions and extend seawards.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL LANDFORMS -> CUSPATE FORELANDS']"
"convective processes experiment - aerosols & winds","1","1","Global Change Master Directory (GCMD)","The Convective Processes Experiment – Aerosols & Winds (CPEX-AW) campaign is a joint effort between the US National Aeronautics and Space Administration (NASA) and the European Space Agency (ESA) with the primary goal of conducting a post-launch calibration and validation activities of the Atmospheric Dynamics Mission-Aeolus (ADM-AEOLUS) Earth observation wind Lidar satellite in St. Croix. CPEX-AW is a follow-on to the Convective Processes Experiment (CPEX) field campaign which took place in the summer of 2017 (https://cpex.jpl.nasa.gov/). In addition to joint calibration/validation of ADM-AEOLUS, CPEX-AW will study the dynamics and microphysics related to the Saharan Air Layer, African Easterly Waves and Jets, Tropical Easterly Jet, and deep convection in the InterTropical Convergence Zone (ITCZ).","['Convective Processes Experiment - Aerosols & Winds']"
"convection and moisture experiment 3","1","1","Global Change Master Directory (GCMD)","The third in the series of CAMEX field studies (CAMEX-3) is planned for August - September, 1998. This field campaign will be devoted to the study of hurricane tracking and intensification using NASA-funded aircraft remote sensing instrumentation. The NASA ER-2 and DC-8 are the primary aircraft platforms currently planned for the deployment; however, collaborations with the National Weather Service/Tropical Prediction Center/National Hurricane Center and National Oceanic and Atmospheric Administration/Hurricane Research Division are being developed so that actual mission sorties may involve as many as five to six aircraft. The remote sensing instrumentation to be utilized by NASA during CAMEX-3 will yield high spatial and temporal information of hurricane structure, dynamics, and motion. These data, when analyzed within the context of more traditional aircraft, satellite, and ground-based radar observations, should provide additional insight to hurricane modelers and forecasters who continually strive to improve hurricane predictions. The ultimate goal of CAMEX-3 is to provide information which could someday assist in decreasing the size of coastal evacuation areas and increasing the warning time for those areas. For more information, link to http://ghrc.nsstc.nasa.gov/camex3/instruments/aeri.html","['Convection and Moisture Experiment 3']"
"convection and moisture experiment 4","1","1","Global Change Master Directory (GCMD)","CAMEX-4 is focused on the study of tropical cyclone (hurricane) development, tracking, intensification, and landfalling impacts using NASA-funded aircraft and surface remote sensing instrumentation. The primary aircraft used during CAMEX-4 are the NASA DC-8 and ER-2 research airborne platforms. These instrumented aircraft will fly over, through, and around selected hurricanes as they approachlandfall in the Caribbean, Gulf of Mexico, and along the east coast of the United States. The NASA aircraft will investigate upper altitude regions of the hurricane not normally sampled. Where possible, measurements will be compared and validated with coincident observations from the QuikSCAT, Terra, and Tropical Rainfall Measuring Mission satellites. This study will yield high spatial and temporal information of hurricane structure, dynamics, and motion. These data, when analyzed within the context of more traditional aircraft, satellite, and ground-based radar observations,should provide additional insight to hurricane modelers and forecasters who continually strive to improve hurricane predictions.More accurate hurricane predictions at landfall will result in decreasing the size of necessary coastal evacuations and increasing the warning time for those areas. While remote sensing of the hurricane environment is the primary objective of CAMEX-4, there will also be separate flights to study thunderstorm structure, precipitation systems, and atmospheric water vapor profiles. This portion of CAMEX-4 is known as KAMP, Keys Area Microphysics Project. The objective of the KAMPflights is to improve quantitative precipitation estimates from passive and active microwave instruments. For more information, link to http://camex.msfc.nasa.gov/","['Convection and Moisture Experiment 4']"
"convection and precipitation/electrification experiment","1","1","Global Change Master Directory (GCMD)","The Convection and Precipitation/Electrification Experiment (CaPE) took place in central Florida with a latitude range of 43N, to 25.5N, westernmost longitude of 86W, and easternmost longitude of 69W. The CaPE Flight Activity began on July 18, 1991 and ended on Aug. 17, 1991. Making use of the Advanced Microwave Precipitation Radiometer (AMPR) on board on a NASA ER-2 aircraft flying at a nominal 20km altitude, passive microwave measurements were made of convective activity. The purpose of the experiment was to collect precipitation data in tropical convective storm cells over both water and land. Data returned included ice/water concentrations and amounts, and the structure of the convective cells.","['Convection and Precipitation -> Electrification Experiment -> Convection and Precipitation/Electrification Experiment']"
"convection cell","1","1","Semantic Web for Earth and Environment Technology Ontology","An organized unit of convection within a convecting layer. It is isolated by a stream surface, with ascending motion in the center and descending motion near the periphery, or vice versa.","['convection cell']"
"convective available potential energy (cape)","1","1","GCMD","Convective Available Potential Energy = in units of Joules per kilogram (J/kg) is a measure of the cumulative buoyancy of a parcel as it rises.","['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> Stability/Severe Weather Indices -> CONVECTIVE AVAILABLE POTENTIAL ENERGY (CAPE)']"
"convective processes","1","0","AGU Index Terms","","['Convective processes']"
"convective processes experiment","1","1","Global Change Master Directory (GCMD)","The NASA Convective Processes Experiment (CPEX) aircraft field campaign will take place in the North Atlantic-Gulf of Mexico-Caribbean Oceanic region during the early summer of 2017. This campaign hopes to collect data that can help to answer questions about convective storm initiation, organization, growth, and dissipation. For this effort, NASAs DC-8 aircraft will log 100 hours of flight time and be equipped with multiple instruments capable of taking measurements that will help scientists improve their understanding of convective processes.","['Convective Processes Experiment']"
"convective_precipitation","1","0","Global Change Master Directory (GCMD)","","['convective_precipitation']"
"coriolis force","1","0","SWEET","","['Force -> coriolis force | Process -> physical process -> deflection -> coriolis force']"
"convergence","1","1","GCMD","Pressure fluctuations at the Earth's surface are produced by movements of air which produce changes in the mass of air in a vertical column above the ground. A net gain in mass produces an increase in pressure leading to a high pressure system. A net loss of mass gives rise to a low. When there is a horizontal flow of air into a region (convergence) a vertical upward movement of air occurs otherwise there would be a continual increase in density of the air. Divergence occurs when there is a net horizontal outward flow of air from a region. This leads to a vertical downward movement of air.","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> WIND DYNAMICS -> CONVERGENCE']"
"convergence/divergence","1","1","GCMD","Convergence - A net inflow of winds into a region. Divergence- Anet outflow of wind from a region.","['EARTH SCIENCE -> OCEANS -> OCEAN WINDS -> CONVERGENCE/DIVERGENCE']"
"cooling","1","0","SWEET","","['Process -> physical process -> thermal process -> cooling']"
"copenhagen energy wind, municipality of copenhagen, denmark","1","0","Global Change Master Directory (GCMD)","","['Copenhagen Energy Wind, Municipality of Copenhagen, Denmark']"
"coral bleaching","1","1","GCMD","The loss of intracellular endosymbionts (Symbiodinium, also known as zooxanthellae) through either expulsion or loss of algal pigmentation.","['EARTH SCIENCE -> OCEANS -> COASTAL PROCESSES -> CORAL REEFS -> CORAL BLEACHING']"
"coral reef assessment","1","1","GCMD","Assessments of coral reef and deep sea coral ecology, biology, and distributions.","['EARTH SCIENCE -> OCEANS -> COASTAL PROCESSES -> CORAL REEFS -> CORAL REEF ASSESSMENT']"
"coral reef extent","1","1","GCMD","Measurement of the spatial extent or dimensions of coral reefs. A coral reef is an underwater ecosystem characterized by reef-building corals. Reefs are formed by colonies of coral polyps held together by calcium carbonate. They are most commonly found at shallow depths in tropical waters, but deep water and cold water coral reefs exist on smaller scales in other areas.","['EARTH SCIENCE -> OCEANS -> COASTAL PROCESSES -> CORAL REEFS -> CORAL REEF EXTENT']"
"convection and moisture experiment","1","1","Global Change Master Directory (GCMD)","The Convection And Moisture EXperiment (CAMEX) is a series of field research investigations sponsored by the Earth Science Enterprise (ESE) program of the National Aeronautics and Space Administration (NASA). The overall goal of CAMEX is to study atmospheric water vapor and precipitation processes using a unique array of aircraft, balloon, and land-based remote sensors. The first two CAMEX field studies were conducted at Wallops Island, Virginia, during 1993 and 1995. The third in the series of CAMEX field studies (CAMEX-3) was conducted in August and September 1998, covering the Caribbean Sea, Gulf of Mexico, and Atlantic Ocean. CAMEX-3 successfully studied Hurricanes Bonnie, Danielle, Earl and Georges and collected data for research in tropical cyclone development, tracking, intensification, and landfalling impacts using NASA-funded aircraft and surface remote sensing instrumentation. For more information, see: http://ghrc.msfc.nasa.gov/camex3/","['Convection and Moisture Experiment']"
"contracting","1","0","SWEET","","['Process -> physical process -> contracting']"
"continuum storm","1","1","Space Weather Glossary","General term for solar radio noise lasting for hours and sometimes days, in which the intensity varies smoothly with frequency over a wide range in the meter and decimeter wavelengths.","['continuum storm']"
"continous emission monitoring system","1","0","Semantic Web for Earth and Environment Technology Ontology","","['continous emission monitoring system']"
"composite process","1","0","Semantic Web for Earth and Environment Technology Ontology","","['composite process']"
"composition and photodissociative flux measurement","1","1","Global Change Master Directory (GCMD)","The Composition and Photodissociative Flux Measurement (CPFM) instrument is a small, light-weight photodiode array spectrometer. It measures the solar flux on a horizontal surface, the vertical and horizontal polarized limb radiance components, and the along-track and cross-track polarized nadir radiance components. The limb observations consist of a ten-point scan. The detector is an EG&G 1024-element, photodiode array and is positioned at the focus of an f/2 concave, holographic diffraction grating. Filters are used to allow only light in either the first order, 375-775 nm, or the second order, 188-388 nm, to be focused onto the array. In addition, polarizers are used to select one polarization component of the limb or nadir radiance and reject the other. Due to the increased absorption by ozone combined with declining UV sensitivity there are no useful data below 300 nm. Additional information available at http://ess1.ps.uci.edu/%7Ecmclinden/link/xx/node31.html [Source: University of California, Irvine]","['Composition and Photodissociative Flux Measurement']"
"compression","1","0","SWEET","","['Process -> physical process -> compression']"
"computational methods and data processing","1","0","AGU Index Terms","","['Computational methods and data processing']"
"concentration (process)","1","1","GEMET","The process of increasing the quantity of a component in a solution. The opposite of dilution.","['concentration (process)']"
"condensation","1","1","GCMD","In meteorological usage, this term is applied only to the transformation from vapor to liquid; any process in which a solid forms directly from its vapor is termed deposition, and the reverse process sublimation.","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WATER VAPOR -> WATER VAPOR PROCESSES -> CONDENSATION']"
"condensation (process)","1","1","GEMET","Transformation from a gas to a liquid.","['condensation (process)']"
"conduction","1","0","SWEET","","['Process -> physical process -> conduction']"
"confluence","1","2","GCMD","The merger or meeting of two or more objects (or subjects) that seem to inseparably bind their respective forces or attributes into a point of junction. ;; The meeting of two or more bodies of water.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> CONFLUENCE', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> CONFLUENCE']"
"conical scanning millimeter-wave imaging radiometer","1","1","Global Change Master Directory (GCMD)","CoSMIR, originally developed for the calibration/validation of the Special Sensor Microwave/Imager/ Sounder (SSMIS),, is an airborne, 9-channel total power radiometer modified to have scan mode to acquire both conical and across-track scan data simultaneously in a given flight. The well-calibrated radiometric data between 50-183 GHz has an accuracy on the order of ±1 K. More info can be found at: http://atmospheres.gsfc.nasa.gov/meso/index.php?section=121 Group: Instrument_Details Entry_ID: COSMIR Group: Instrument_Identification Instrument_Category: Earth Remote Sensing Instruments Instrument_Class: Passive Remote Sensing Instrument_Type: Spectrometers/Radiometers Instrument_Subtype: Imaging Spectrometers/Radiometers Short_Name: COSMIR Long_Name: Compact Scanning Millimeter-wave Imaging Radiometer End_Group Group: Associated_Platforms Short_Name: NASA ER-2 End_Group Online_Resource: http://atmospheres.gsfc.nasa.gov/meso/index.php?section=121 Creation_Date: 2012-05-24 Group: Instrument_Logistics Instrument_Owner: USA/NASA End_Group End_Group","['Conical Scanning Millimeter-wave Imaging Radiometer']"
"conical scanning sub-mm wave imaging radiometer","1","1","Global Change Master Directory (GCMD)","The Conical Scanning Sub-millimeter-Wave Imaging Radiometer (COSSIR) built by Jim Wang at NASA Goddard is also a heterodyne instrument very similar to the Cloud Ice Radiometer. More flexible scanning capabilities will increase the possible viewing configurations. [Summary provided by Frank Evans, University of Colorado]","['Conical Scanning Sub-mm wave Imaging Radiometer']"
"conselleria d'infraestructures i transport, spain","1","0","Global Change Master Directory (GCMD)","","[""Conselleria D'Infraestructures I Transport, Spain""]"
"constant flux layer","1","1","Semantic Web for Earth and Environment Technology Ontology","A layer of air tens of meters thick at the bottom of the atmosphere where the variation of vertical turbulent flux with altitude is less than 10% of its magnitude.","['constant flux layer']"
"consumption rates","1","1","GCMD","Consumption is the process whereby organisms in an ecosystem derivetheir energy from feeding on other organisms or their products.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> ECOSYSTEM FUNCTIONS -> CONSUMPTION RATES']"
"continental shelf and slope processes","1","0","AGU Index Terms","","['Continental shelf and slope processes']"
"coral reefs","1","2","GCMD","Underwater structures made from calcium carbonate secreted by corals. Corals are colonies of tiny living animals found in marine waters containing few nutrients. Most coral reefs are built from stony corals, and are formed by polyps that live together in groups. The polyps secrete a hard carbonate exoskeleton which provides support and protection for the body of each polyp. ;; A mass of calcium carbonate rock material derived from coral organisms,algae, mollusks, worms, etc. Also used as pertaining to the livingbiological aspects of the reef.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL LANDFORMS -> CORAL REEFS', 'EARTH SCIENCE -> OCEANS -> COASTAL PROCESSES -> CORAL REEFS']"
"corona","1","1","GCMD","The outermost, high temperature region of the solar atmosphere. Above thechromosphere and transition region, consisting of almost fully ionized plasmacontained in closed magnetic field loops, called coronal loops or expanding outalong open magnetic field lines to form the solar wind. The corona is a highlyrarefied, low density gas, with electron densities of less than 10*16electrons/ m*3, heated to temperatures of millions of degrees. The corona isvisible to the unaided eye as a white halo during a total eclipse of the sun.","['EARTH SCIENCE -> SUN-EARTH INTERACTIONS -> SOLAR ACTIVITY -> CORONA']"
"currents","1","0","AGU Index Terms","","['Currents']"
"crustal dynamics data information system, geodesy and geophysics laboratory, earth sciences division, sciences and exploration directorate, goddard space flight center, nasa","1","1","Global Change Master Directory (GCMD)","The Crustal Dynamics Data Information System (CDDIS) is a dedicated data center supporting the international space geodesy community, providing easy and ready access to a variety of data sets, products, and information about these data. The data center was established in 1982 as a dedicated data bank to archive and distribute all Crustal Dynamics Project-acquired data and information about these data. Today, the CDDIS continues to serve as the NASA archive and distribution center for space geodesy data, particularly Global Navigation Satellite System (GNSS, currently GPS and GLONASS), laser ranging, Very Long Baseline Interferometry (VLBI), and Doppler Orbitography and Radiopositioning Integrated by Satellite (DORIS) data. The specialized nature of the CDDIS lends itself well to enhancement to accommodate diverse data sets and user requirements. All data sets and metadata extracted from these data sets are accessible to scientists through ftp and the Web; general information about each data set is accessible via the Web. The data archive supports NASA’s space geodesy activities within the Science Mission Directorate. The CDDIS data system and its archive have become increasingly important to many national and international programs, particularly several of the operational services within the International Association of Geodesy (IAG). The CDDIS serves as one of the primary data centers for the following IAG services: the International GNSS Service (IGS), the International Laser Ranging Service (ILRS), the International VLBI Service for Geodesy and Astrometry (IVS), the International DORIS Service (IDS), and the International Earth Rotation and Reference Systems Service (IERS). CDDIS Contact: Carey E. Noll NASA Goddard Space Flight Center Code 690 Greenbelt, MD 20771, USA Email: Carey.E.Noll@nasa.gov CDDIS Home Page: https://cddis.gsfc.nasa.gov/","['Crustal Dynamics Data Information System, Geodesy and Geophysics Laboratory, Earth Sciences Division, Sciences and Exploration Directorate, Goddard Space Flight Center, NASA']"
"crescentic (barchan/transverse)","1","1","GCMD","A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter 'slip face' in the lee of the wind.","['EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL LANDFORMS -> DUNES -> CRESCENTIC (BARCHAN/TRANSVERSE)']"
"crescentic (barchan/transverse) dune","1","3","GCMD","'Crescent-shaped mounds are generally wider than they are long. The slipfaces are on the concave sides of the dunes. These dunes form under winds that blow consistently from one direction, and they also are known as barchans, or transverse dunes. ;; Shaped mounds are generally wider than they are long. The slipfaces are on the concave sides of the dunes. These dunes form under winds that blow consistently from one direction, and they also are known as barchans, or transverse dunes. ;; Crescent-shaped mounds are generally wider than they are long. The slipfaces are on the concave sides of the dunes. These dunes form under winds that blow consistently from one direction, and they also are known as barchans, or transverse dunes.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN LANDFORMS -> DUNES -> CRESCENTIC (BARCHAN/TRANSVERSE) DUNE', 'EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL LANDFORMS -> DUNES -> CRESCENTIC (BARCHAN/TRANSVERSE) DUNE', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> AEOLIAN LANDFORMS -> DUNES -> CRESCENTIC (BARCHAN/TRANSVERSE) DUNE']"
